<hes>	a:6
daan1che1luk1	d a: n1 ts E:1 l u: k1
daan1gaan1	d a: n1 g a: n1
maai6	m a:j6
maai6ha6	m a:j6 h a:6
maai6cheut1	m a:j6 ts 9: t1
maai6maai6ha2	m a:j6 m a:j6 h a:2
maai6haam4aap3daan2	m a:j6 h a: m4 a: p3 d a: n2
maai6m4cheut1	m a:j6 m4 ts 9: t1
maai6m4dou3	m a:j6 m4 d ow3
maai6dei6	m a:j6 d ej6
maai6cheung4	m a:j6 ts 9: N4
maai6maai4	m a:j6 m a:j4
maai6dak1cheut1	m a:j6 d 6 k1 ts 9: t1
maai6gan2ye5	m a:j6 g 6 n2 j E:5
maai6choi4liu2	m a:j6 ts O:j4 l iw2
maai6lau2	m a:j6 l 6w2
maai6seung3	m a:j6 s 9: N3
maai6lou5	m a:j6 l ow5
maai6cha4yip6	m a:j6 ts a:4 j i: p6
maai6choi3	m a:j6 ts O:j3
maai6daan2	m a:j6 d a: n2
maai6ye5	m a:j6 j E:5
maai6ma4gaai1	m a:j6 m a:4 g a:j1
laam4	l a: m4
laam4ha6	l a: m4 h a:6
laam4ging1	l a: m4 g i: N1
laam4gwaan1saan1	l a: m4 gw a: n1 s a: n1
laam4bak1	l a: m4 b 6 k1
laam4keui1	l a: m4 k 9y1
laam4bun3kau4	l a: m4 b u: n3 k 6w4
laam4wa4ji2	l a: m4 w a:4 dz i:2
laam4me1dou2	l a: m4 m E:1 d ow2
laam4gok3leui5	l a: m4 g O: k3 l 9y5
laam4sing4	l a: m4 s i: N4
laam4taai3	l a: m4 t a:j3
laam4tau4	l a: m4 t 6w4
laam4mou5	l a: m4 m ow5
laam4ling4	l a: m4 l i: N4
laam4ling4baak3fo3	l a: m4 l i: N4 b a: k3 f O:3
laam4saan1	l a: m4 s a: n1
laam4saan1dou2	l a: m4 s a: n1 d ow2
laam4gong1	l a: m4 g O: N1
laam4jong1	l a: m4 dz O: N1
laam4si1lai1fu1	l a: m4 s i:1 l 6j1 f u:1
laam4fong1	l a: m4 f O: N1
laam4fong1yi1yun2	l a: m4 f O: N1 j i:1 j y: n2
laam4fong1daai6ha6	l a: m4 f O: N1 d a:j6 h a:6
laam4kwan1	l a: m4 kw 6 n1
laam4kwan1saan1	l a: m4 kw 6 n1 s a: n1
laam4cheung1	l a: m4 ts 9: N1
laam4pou2	l a: m4 p ow2
laam4pou2to4ji6	l a: m4 p ow2 t O:4 dz i:6
laam4chyun1	l a: m4 ts y: n1
laam4au1	l a: m4 6w1
laam4mou5ying1	l a: m4 m ow5 j i: N1
laam4sa1	l a: m4 s a:1
laam4taai3	l a: m4 t a:j3
laam4yeung4	l a: m4 j 9: N4
laam4jau1	l a: m4 dz 6w1
laam4hoi2	l a: m4 h O:j2
laam4hoi2yi1yun2	l a: m4 h O:j2 j i:1 j y: n2
laam4wu4gok3leui5	l a: m4 w u:4 g O: k3 l 9y5
laam4ou3	l a: m4 ow3
laam4gwa1	l a: m4 gw a:1
laam4jaam6	l a: m4 dz a: m6
laam4mei5	l a: m4 m ej5
laam4hong4	l a: m4 h O: N4
laam4yun2	l a: m4 j y: n2
laam4ying1	l a: m4 j i: N1
laam4bin1mun4	l a: m4 b i: n1 m u: n4
laam4mun4	l a: m4 m u: n4
laam4gok3	l a: m4 g O: k3
laam4gok3jau2ga1	l a: m4 g O: k3 dz 6w2 g a:1
laam4fei1	l a: m4 f ej1
bok3	b O: k3
bok3si6	b O: k3 s i:6
bok3haak3	b O: k3 h a: k3
bok3man2	b O: k3 m 6 n2
bok3mat6gun2	b O: k3 m 6 t6 g u: n2
buk1	b u: k1
jim1	dz i: m1
jim3ling5	dz i: m3 l i: N5
ka1	k a:1
ka1la1ou1kei1	k a:1 l a:1 ow1 k ej1
ka1ka1	k a:1 k a:1
ka1si5	k a:1 s i:5
ka1pin3	k a:1 p i: n3
ka1lou6lei5	k a:1 l ow6 l ej5
ka1tung1pin2	k a:1 t u: N1 p i: n2
lou4wing6yi4	l ow4 w i: N6 j i:4
lou4sat1hoi2dak1	l ow4 s 6 t1 h O:j2 d 6 k1
lou4gin3man4	l ow4 g i: n3 m 6 n4
lou4gei3	l ow4 g ej3
lou5mei2	l ow5 m ej2
lou5seui2	l ow5 s 9y2
lou5seui2jap1	l ow5 s 9y2 dz 6 p1
lou5yuk6faan6	l ow5 j y: k6 f a: n6
o6pou1	O:6 p ow1
o6lung4dou2	O:6 l u: N4 d ow2
wai6	w 6j6
wai6fung6ching1	w 6j6 f u: N6 ts i: N1
wai6sing1	w 6j6 s i: N1
wai6sang1	w 6j6 s 6 N1
wai6sang1gan1	w 6j6 s 6 N1 g 6 n1
wai6sang1bou6	w 6j6 s 6 N1 b ow6
wai6sang1gaan1	w 6j6 s 6 N1 g a: n1
wai6sang1yun4	w 6j6 s 6 N1 j y: n4
wai6yi1	w 6j6 j i:1
wai6si6	w 6j6 s i:6
yan3	j 6 n3
yan3dou3	j 6 n3 d ow3
yan3chaat3	j 6 n3 ts a: t3
yan3dou6	j 6 n3 d ow6
yan3ji2gei1	j 6 n3 dz i:2 g ej1
yan3jing3	j 6 n3 dz i: N3
yan3jeung6	j 6 n3 dz 9: N6
ai4	6j4
ngai4gei1	N 6j4 g ej1
ngai4him2	N 6j4 h i: m2
jik1	dz i: k1
jik1sai2	dz i: k1 s 6j2
jik1hak1	dz i: k1 h 6 k1
jik1ho2	dz i: k1 h O:2
jik1cheung4	dz i: k1 ts 9: N4
jik1yat6	dz i: k1 j 6 t6
jik1si4	dz i: k1 s i:4
jik1si6	dz i: k1 s i:6
jik1gun2	dz i: k1 g u: n2
jik1hai6	dz i: k1 h 6j6
jik1hai6nei5yi3si1wa6	dz i: k1 h 6j6 n ej5 j i:3 s i:1 w a:6
jik1hai6mai6	dz i: k1 h 6j6 m 6j6
jik1hai6ngo5dei6	dz i: k1 h 6j6 N O:5 d ej6
jik1hai6wa6	dz i: k1 h 6j6 w a:6
jik1hai6wa6si6jaai1	dz i: k1 h 6j6 w a:6 s i:6 dz a:j1
jik1hai6wa6jaai1	dz i: k1 h 6j6 w a:6 dz a:j1
jik1wa6	dz i: k1 w a:6
leun2	l 9: n2
gyun2	g y: n2
gyun2faat3	g y: n2 f a: t3
hing1	h i: N1
hing1je2	h i: N1 dz E:2
chong2	ts O: N2
chong2keui1	ts O: N2 k 9y1
chong2seung1	ts O: N2 s 9: N1
chong2ga1	ts O: N2 g a:1
chong2fong4	ts O: N2 f O: N4
chong2jeung2	ts O: N2 dz 9: N2
aak1	a: k1
teng1	t E: N1
lik6si2	l i: k6 s i:2
lik6lin6	l i: k6 l i: n6
lai6hoi6	l 6j6 h O:j6
aat3	a: t3
aat3dou3	a: t3 d ow3
aat3lik6	a: t3 l i: k6
ngaat3yik1	N a: t3 j i: k1
aat3bik1gam2	a: t3 b i: k1 g 6 m2
yim3	j i: m3
yim3gyun6	j i: m3 g y: n6
yim3m4yim3	j i: m3 m4 j i: m3
chi3so2	ts i:3 s O:2
chi3so2chaan1teng1	ts i:3 s O:2 ts a: n1 t E: N1
lei4	l ej4
lei4mai5	l ej4 m 6j5
hau5	h 6w5
hau5jing3	h 6w5 dz i: N3
hau5san1	h 6w5 s 6 n1
yun4	j y: n4
yun4gin6	j y: n4 g i: n6
yun4ga3	j y: n4 g a:3
yun4jok3	j y: n4 dz O: k3
yun4loi4	j y: n4 l O:j4
yun4sin1	j y: n4 s i: n1
yun4lai4	j y: n4 l 6j4
yun4yan1	j y: n4 j 6 n1
yun4chi2	j y: n4 ts i:2
yun4ji2gu2	j y: n4 dz i:2 g u:2
yun4bun2	j y: n4 b u: n2
yun4loi4	j y: n4 l O:j4
yun4jap1yun4mei2	j y: n4 dz 6 p1 j y: n4 m ej2
yun4lei5	j y: n4 l ej5
yun4jong1	j y: n4 dz O: N1
yun4tai4	j y: n4 t 6j4
ha6daai6	h a:6 d a:j6
ha6mun4	h a:6 m u: n4
chyu4si1	ts y:4 s i:1
chyu4fong2	ts y:4 f O: N2
chyu4fong2jai2	ts y:4 f O: N2 dz 6j2
cheui4gai2	ts 9y4 g 6j2
heui3	h 9y3
heui3yat1ha5	h 9y3 j 6 t1 h a:5
heui3yat1heui3	h 9y3 j 6 t1 h 9y3
heui3ha5	h 9y3 h a:5
heui3bat1heui3	h 9y3 b 6 t1 h 9y3
heui3dou3	h 9y3 d ow3
heui3m4dou3	h 9y3 m4 d ow3
heui3m4heui3	h 9y3 m4 h 9y3
heui3m4heui3dou3	h 9y3 m4 h 9y3 d ow3
heui3m4heui3dak1	h 9y3 m4 h 9y3 d 6 k1
heui3m4heui3dak1dou3	h 9y3 m4 h 9y3 d 6 k1 d ow3
heui3m4sing4	h 9y3 m4 s i: N4
heui3m4go3	h 9y3 m4 g O:3
heui3maai4	h 9y3 m a:j4
heui3yun4dung1saan1	h 9y3 j y: n4 d u: N1 s a: n1
heui3jo2mei6	h 9y3 dz O:2 m ej6
heui3lin2	h 9y3 l i: n2
heui3hoi1	h 9y3 h O:j1
heui3dak1	h 9y3 d 6 k1
heui3dak1dou3	h 9y3 d 6 k1 d ow3
heui3dak1siu2	h 9y3 d 6 k1 s iw2
heui3dak1bin1	h 9y3 d 6 k1 b i: n1
heui3gan2gaai1	h 9y3 g 6 n2 g a:j1
heui3sei2	h 9y3 s ej2
heui3sap1jiu1jai6	h 9y3 s 6 p1 dz iw1 dz 6j6
heui3yu2	h 9y3 j y:2
heui3gaai1	h 9y3 g a:j1
heui3ying6	h 9y3 j i: N6
heui3go3	h 9y3 g O:3
heui3faan1	h 9y3 f a: n1
heui3faan1heui3	h 9y3 f a: n1 h 9y3
heui3gwai2dou3	h 9y3 gw 6j2 d ow3
yun2	j y: n2
yun2sing4	j y: n2 s i: N4
chaam1	ts a: m1
chaam1yu5	ts a: m1 j y:5
chaam1yu5maai4	ts a: m1 j y:5 m a:j4
chaam1ga1	ts a: m1 g a:1
chaam1jin2	ts a: m1 dz i: n2
chaam1sou3	ts a: m1 s ow3
chaam1jiu3ha2	ts a: m1 dz iw3 h a:2
chaam1fan2	ts a: m1 f 6 n2
chaam1gun1	ts a: m1 g u: n1
chaam1gun1ha2	ts a: m1 g u: n1 h a:2
yau6	j 6w6
yau6pin4yau6jing3	j 6w6 p i: n4 j 6w6 dz i: N3
yau6wa1	j 6w6 w a:1
yau6m4yau6	j 6w6 m4 j 6w6
yau6yau5	j 6w6 j 6w5
yau6sau3yau6haak1	j 6w6 s 6w3 j 6w6 h a: k1
yau6hai6	j 6w6 h 6j6
yau6wa6	j 6w6 w a:6
yau6haak1yau6sau3	j 6w6 h a: k1 j 6w6 s 6w3
cha1	ts a:1
cha1cha1	ts a:1 ts a:1
cha1siu1	ts a:1 s iw1
cha1siu1jeung3	ts a:1 s iw1 dz 9: N3
cha1siu1faan6	ts a:1 s iw1 f a: n6
kap6	k 6 p6
kap6si4	k 6 p6 s i:4
kap6hai6	k 6 p6 h 6j6
yau5	j 6w5
yau5jai2	j 6w5 dz 6j2
yau5faat3	j 6w5 f a: t3
yau5ching4	j 6w5 ts i: N4
yau5yi4seung1cheung4	j 6w5 j i:4 s 9: N1 ts 9: N4
yau5yi4seung1dim3	j 6w5 j i:4 s 9: N1 d i: m3
yau5yi4choi3	j 6w5 j i:4 ts O:j3
seung1	s 9: N1
seung1yan4	s 9: N1 j 6 n4
seung1yau1	s 9: N1 j 6w1
seung1pui5	s 9: N1 p u:j5
seung1ka1	s 9: N1 k a:1
seung1heung3	s 9: N1 h 9: N3
seung1chang4	s 9: N1 ts 6 N4
seung1doi6	s 9: N1 d O:j6
seung1wai6	s 9: N1 w 6j6
seung1sou3	s 9: N1 s ow3
seung1fong1	s 9: N1 f O: N1
seung1hat6	s 9: N1 h 6 t6
seung1kei4	s 9: N1 k ej4
seung1kei4gon1kwan2	s 9: N1 k ej4 g O: n1 kw 6 n2
seung1faai3	s 9: N1 f a:j3
seung1fei1	s 9: N1 f ej1
seung1fei1tyun4	s 9: N1 f ej1 t y: n4
seung1wong4	s 9: N1 w O: N4
faan2	f a: n2
faan2chyun3	f a: n2 ts y: n3
faan2wai4	f a: n2 w 6j4
faan2ji1	f a: n2 dz i:1
faan2bun6	f a: n2 b u: n6
faan2fuk1	f a: n2 f u: k1
faan2deui3	f a: n2 d 9y3
faan2ying3	f a: n2 j i: N3
faan2daan6	f a: n2 d a: n6
faan2kong3	f a: n2 k O: N3
faan2ying2	f a: n2 j i: N2
faan2jing3	f a: n2 dz i: N3
faan2yi4	f a: n2 j i:4
faat3	f a: t3
faat3seung6	f a: t3 s 9: N6
faat3ha5siu1	f a: t3 h a:5 s iw1
faat3jai2	f a: t3 dz 6j2
faat3seun3sik1	f a: t3 s 9: n3 s i: k1
faat3gong1	f a: t3 g O: N1
faat3cheut1	f a: t3 ts 9: t1
faat3dou3	f a: t3 d ow3
faat3lik6	f a: t3 l i: k6
faat3dung6gei1	f a: t3 d u: N6 g ej1
faat3suk1	f a: t3 s u: k1
faat3hau2	f a: t3 h 6w2
faat3au6dou6	f a: t3 6w6 d ow6
faat3ap1fung1	f a: t3 6 p1 f u: N1
faat3ying4	f a: t3 j i: N4
faat3maai4	f a: t3 m a:j4
faat3gaap3	f a: t3 g a: p3
faat3nau1	f a: t3 n 6w1
faat3se6	f a: t3 s E:6
faat3se6hei3	f a: t3 s E:6 h ej3
faat3mei5	f a: t3 m ej5
faat3jin2	f a: t3 dz i: n2
faat3jin2wui2	f a: t3 dz i: n2 w u:j2
faat3jin2hong2	f a: t3 dz i: n2 h O: N2
faat3gung1ji1	f a: t3 g u: N1 dz i:1
faat3jo2chin2	f a: t3 dz O:2 ts i: n2
faat3long4	f a: t3 l O: N4
faat3man5jang1	f a: t3 m 6 n5 dz 6 N1
faat3fai1	f a: t3 f 6j1
faat3fai1ha2	f a: t3 f 6j1 h a:2
faat3fai1dak1	f a: t3 f 6j1 d 6 k1
faat3gan2mung6	f a: t3 g 6 n2 m u: N6
faat3ming4	f a: t3 m i: N4
faat3mung6	f a: t3 m u: N6
faat3mou4	f a: t3 m ow4
faat3sit3	f a: t3 s i: t3
faat3yun4dei6	f a: t3 j y: n4 d ej6
faat3yim4	f a: t3 j i: m4
faat3laan6ja2	f a: t3 l a: n6 dz a:2
faat3siu1	f a: t3 s iw1
faat3yit6	f a: t3 j i: t6
faat3ye4	f a: t3 j E:4
faat3kong4	f a: t3 k O: N4
faat3yin6	f a: t3 j i: n6
faat3yin6mei6	f a: t3 j i: n6 m ej6
faat3kau4	f a: t3 k 6w4
faat3sang1	f a: t3 s 6 N1
faat3sang1gwo3	f a: t3 s 6 N1 gw O:3
faat3wan1	f a: t3 w 6 n1
faat3din1	f a: t3 d i: n1
faat3dyun2seun3	f a: t3 d y: n2 s 9: n3
faat3san4ging1	f a: t3 s 6 n4 g i: N1
faat3piu3	f a: t3 p iw3
faat3gou1	f a: t3 g ow1
faat3yuk6	f a: t3 j y: k6
faat3pei4hei3	f a: t3 p ej4 h ej3
faat3hang4	f a: t3 h 6 N4
faat3biu2	f a: t3 b iw2
faat3gok3	f a: t3 g O: k3
faat3yin4	f a: t3 j i: n4
faat3gei3	f a: t3 g ej3
faat3choi4	f a: t3 ts O:j4
faat3fo3	f a: t3 f O:3
faat3jat1	f a: t3 dz 6 t1
faat3hei2	f a: t3 h ej2
faat3daat6	f a: t3 d a: t6
faat3jam1	f a: t3 dz 6 m1
faat3chin2	f a: t3 ts i: n2
faat3mou1	f a: t3 m ow1
faat3mui4	f a: t3 m u:j4
faat3yam1	f a: t3 j 6 m1
faat3din1	f a: t3 d i: n1
faat3gou1siu1	f a: t3 g ow1 s iw1
suk1	s u: k1
suk1jai2	s u: k1 dz 6j2
suk1baak3hing1dai6	s u: k1 b a: k3 h i: N1 d 6j6
suk1gung1	s u: k1 g u: N1
suk1suk1	s u: k1 s u: k1
cheui2siu1	ts 9y2 s iw1
sau6	s 6w6
sau6seung1	s 6w6 s 9: N1
sau6dou3	s 6w6 d ow3
sau6m4jyu6	s 6w6 m4 dz y:6
sau6m4dou3	s 6w6 m4 d ow3
sau6dak1liu5	s 6w6 d 6 k1 l iw5
sau6fui2	s 6w6 f u:j2
bin3	b i: n3
bin3jou6	b i: n3 dz ow6
bin3dou3	b i: n3 d ow3
bin3dung6	b i: n3 d u: N6
bin3fa3	b i: n3 f a:3
bin3waan6	b i: n3 w a: n6
bin3ying4gam1gong1	b i: n3 j i: N4 g 6 m1 g O: N1
bin3ying4gam1gong1saam1	b i: n3 j i: N4 g 6 m1 g O: N1 s a: m1
bin3dak1	b i: n3 d 6 k1
bin3taai3	b i: n3 t a:j3
bin3sing3	b i: n3 s i: N3
bin3sing4	b i: n3 s i: N4
bin3gang1ha2	b i: n3 g 6 N1 h a:2
bin3loi4bin3heui3	b i: n3 l O:j4 b i: n3 h 9y3
bin3sik1	b i: n3 s i: k1
bin3faan1	b i: n3 f a: n1
bun6yik6	b u: n6 j i: k6
daap6	d a: p6
daap6jyu6	d a: p6 dz y:6
hau2	h 6w2
hau2bat1deui3sam1	h 6w2 b 6 t1 d 9y3 s 6 m1
hau2hou6	h 6w2 h ow6
hau2mei6	h 6w2 m ej6
hau2seun4	h 6w2 s 9: n4
hau2seun4baak6	h 6w2 s 9: n4 b a: k6
hau2jeui2	h 6w2 dz 9y2
hau2tau4seung6	h 6w2 t 6w4 s 9: N6
hau2on6	h 6w2 O: n6
hau2gam2	h 6w2 g 6 m2
hau2maak3maak3	h 6w2 m a: k3 m a: k3
hau2fuk6yik6	h 6w2 f u: k6 j i: k6
hau2seui2	h 6w2 s 9y2
hau2daam6daam6	h 6w2 d a: m6 d a: m6
hau2fuk1	h 6w2 f u: k1
hau2jaau3	h 6w2 dz a:w3
hau2yik6	h 6w2 j i: k6
hau2yu5	h 6w2 j y:5
hau2yam1	h 6w2 j 6 m1
hau2chi2	h 6w2 ts i:2
gu2	g u:2
gu2jai2	g u:2 dz 6j2
gu2doi6	g u:2 d O:j6
gu2gin6hung4	g u:2 g i: n6 h u: N4
gu2din2	g u:2 d i: n2
gu2sing4	g u:2 s i: N4
gu2jau1	g u:2 dz 6w1
gu2gwaai3	g u:2 gw a:j3
gu2lou5	g u:2 l ow5
gu2sik1gu2heung1	g u:2 s i: k1 g u:2 h 9: N1
gu2dung2	g u:2 d u: N2
gu2jong1	g u:2 dz O: N1
gu2si1	g u:2 s i:1
gu2jik1	g u:2 dz i: k1
gu2jan3	g u:2 dz 6 n3
geui3	g 9y3
geui3ji2	g 9y3 dz i:2
geui3wa6	g 9y3 w a:6
ling6	l i: N6
ling6oi6	l i: N6 O:j6
ling6leui6	l i: N6 l 9y6
kau3je6	k 6w3 dz E:6
ji2	dz i:2
ji2bat1go3	dz i:2 b 6 t1 g O:3
ji2wui5	dz i:2 w u:j5
ji2dak1	dz i:2 d 6 k1
ji2yau5	dz i:2 j 6w5
jek3ngaan5	dz E: k3 N a: n5
ji2gun2	dz i:2 g u: n2
ji2hai6	dz i:2 h 6j6
ji2lang4	dz i:2 l 6 N4
ji2nang4kau3	dz i:2 n 6 N4 k 6w3
ji2yiu3	dz i:2 j iw3
giu3	g iw3
giu3ha2	g iw3 h a:2
giu3jok3	g iw3 dz O: k3
giu3jou6	g iw3 dz ow6
giu3dou3	g iw3 d ow3
giu3m4giu3	g iw3 m4 g iw3
giu3maai4	g iw3 m a:j4
giu3hei2sau2	g iw3 h ej2 s 6w2
jiu6	dz iw6
jiu6jaap6	dz iw6 dz a: p6
ba1	b a:1
ding1	d i: N1
ding1yat1ding1	d i: N1 j 6 t1 d i: N1
ding1ding1	d i: N1 d i: N1
ding1ding1daat6daat6	d i: N1 d i: N1 d a: t6 d a: t6
ding1ding1che1	d i: N1 d i: N1 ts E:1
ho2	h O:2
ho2lok6	h O:2 l O: k6
ho2lok6gun3	h O:2 l O: k6 g u: n3
ho2lok6gai1yik6	h O:2 l O: k6 g 6j1 j i: k6
ho2yi5	h O:2 j i:5
ho2m4ho2	h O:2 m4 h O:2
ho2m4ho2yi5	h O:2 m4 h O:2 j i:5
ho2pa3	h O:2 p a:3
ho2lin4	h O:2 l i: n4
ho2sik1	h O:2 s i: k1
ho2yau5ho2mou4	h O:2 j 6w5 h O:2 m ow4
ho2oi3	h O:2 O:j3
ho2lang4	h O:2 l 6 N4
ho2lang4sing3	h O:2 l 6 N4 s i: N3
toi4	t O:j4
toi4saan1	t O:j4 s a: n1
toi4hing3	t O:j4 h i: N3
toi4sik1	t O:j4 s i: k1
toi4sik1gei1	t O:j4 s i: k1 g ej1
toi4waan1	t O:j4 w a: n1
toi4waan1paai4	t O:j4 w a: n1 p a:j4
toi4kau4	t O:j4 k 6w4
toi4min2	t O:j4 m i: n2
toi4fung1	t O:j4 f u: N1
si2go1	s i:2 g O:1
si2taap3din1	s i:2 t a: p3 d i: n1
si2mat6si1	s i:2 m 6 t6 s i:1
si2dak1lou6	s i:2 d 6 k1 l ow6
si2mo1ning4	s i:2 m O:1 n i: N4
yau6	j 6w6
yau6sau2bin1	j 6w6 s 6w2 b i: n1
yau6aan5	j 6w6 a: n5
yau6geuk3	j 6w6 g 9: k3
yau6bin1	j 6w6 b i: n1
yip6	j i: p6
yip6lai6jing1	j i: p6 l 6j6 dz i: N1
yip6lai6jan1	j i: p6 l 6j6 dz 6 n1
yip6jung2	j i: p6 dz u: N2
yip6jung2wing5	j i: p6 dz u: N2 w i: N5
yip6hiu2ming4	j i: p6 h iw2 m i: N4
yip6lei5sing4	j i: p6 l ej5 s i: N4
yip6lei5seun6	j i: p6 l ej5 s 9: n6
yip6sek6saang1	j i: p6 s E: k6 s a: N1
hou2	h ow2
hou6ma5	h ow6 m a:5
hou6ma5ka1	h ow6 m a:5 k a:1
si1	s i:1
si1hing3	s i:1 h i: N3
si1gei1	s i:1 g ej1
taan3	t a: n3
taan3ha5	t a: n3 h a:5
taan3taan3	t a: n3 t a: n3
lek1	l E: k1
lek6jai2	l E: k6 dz 6j2
lek1m4lek1	l E: k1 m4 l E: k1
lek1m4lek6jai2	l E: k1 m4 l E: k6 dz 6j2
lek6leui5	l E: k6 l 9y5
lek1ma5	l E: k1 m a:5
diu1	d iw1
gei1	g ej1
gei1gu1lou2	g ej1 g u:1 l ow2
hek3	h E: k3
hek3ha2	h E: k3 h a:2
hek3dou3	h E: k3 d ow3
hek3jing6	h E: k3 dz i: N6
hek3lik6	h E: k3 l i: k6
hek3maai4	h E: k3 m a:j4
hek3ging1	h E: k3 g i: N1
hek3faan6	h E: k3 f a: n6
hek3baau2	h E: k3 b a:w2
gok3	g O: k3
hap6	h 6 p6
hap6yat1	h 6 p6 j 6 t1
hap6jok3	h 6 p6 dz O: k3
hap6tung4	h 6 p6 t u: N4
hap6tung4gung1	h 6 p6 t u: N4 g u: N1
hap6m4hap6gaak3	h 6 p6 m4 h 6 p6 g a: k3
hap6maai4	h 6 p6 m a:j4
hap6haak3hang4	h 6 p6 h a: k3 h 6 N4
hap6bing3	h 6 p6 b i: N3
hap6bing3maai4	h 6 p6 b i: N3 m a:j4
hap6ying2	h 6 p6 j i: N2
hap6ji2yat1syun3	h 6 p6 dz i:2 j 6 t1 s y: n3
hap6gaak3	h 6 p6 g a: k3
hap6jiu3	h 6 p6 dz iw3
hap6yeuk3	h 6 p6 j 9: k3
hap6ji1chong2	h 6 p6 dz i:1 ts O: N2
hap6faan2maai4	h 6 p6 f a: n2 m a:j4
hap6sik1	h 6 p6 s i: k1
hap6gam1	h 6 p6 g 6 m1
gat1	g 6 t1
gat1ji1dou2	g 6 t1 dz i:1 d ow2
gat1si6	g 6 t1 s i:6
gat1yut6waan1	g 6 t1 j y: t6 w a: n1
gat1lam4	g 6 t1 l 6 m4
gat1lam4fa3chim1	g 6 t1 l 6 m4 f a:3 ts i: m1
gat1lam4faai3tin1	g 6 t1 l 6 m4 f a:j3 t i: n1
gat1lam4fa1ji1gaau1	g 6 t1 l 6 m4 f a:1 dz i:1 g a:w1
gat1cheung4ka1	g 6 t1 ts 9: N4 k a:1
gat1lung4bo1	g 6 t1 l u: N4 b O:1
diu3	d iw3
diu3ha2jam1	d iw3 h a:2 dz 6 m1
diu3jyu6geng2	d iw3 dz y:6 g E: N2
diu3dou3	d iw3 d ow3
diu3mei2	d iw3 m ej2
diu3ying2	d iw3 j i: N2
diu3jam1	d iw3 dz 6 m1
chyun3	ts y: n3
tung4	t u: N4
tung4yat1	t u: N4 j 6 t1
tung4yat1gaan1	t u: N4 j 6 t1 g a: n1
tung4yip6	t u: N4 j i: p6
tung4heung1	t u: N4 h 9: N1
tung4maai5	t u: N4 m a:j5
tung4si6	t u: N4 s i:6
tung4chan1	t u: N4 ts 6 n1
tung4yan4	t u: N4 j 6 n4
tung4yan4tong4	t u: N4 j 6 n4 t O: N4
tung4bun6jai3	t u: N4 b u: n6 dz 6j3
tung4go1	t u: N4 g O:1
tung4m4tung4	t u: N4 m4 t u: N4
tung4m4tung4maai4	t u: N4 m4 t u: N4 m a:j4
tung4m4tung4yi3	t u: N4 m4 t u: N4 j i:3
tung4maai4	t u: N4 m a:j4
tung4sing3	t u: N4 s i: N3
tung4sing3mong5	t u: N4 s i: N3 m O: N5
tung4tong4	t u: N4 t O: N4
tung4sing3	t u: N4 s i: N3
tung4hok6	t u: N4 h O: k6
tung4hok6jai2	t u: N4 h O: k6 dz 6j2
tung4dak1wai4	t u: N4 d 6 k1 w 6j4
tung4sam1lou6	t u: N4 s 6 m1 l ow6
tung4sing3	t u: N4 s i: N3
tung4ching4sam1	t u: N4 ts i: N4 s 6 m1
tung4yi3	t u: N4 j i:3
tung4gam2	t u: N4 g 6 m2
tung4si4	t u: N4 s i:4
tung4kei4	t u: N4 k ej4
tung4yeung6	t u: N4 j 9: N6
tung4jeuk3	t u: N4 dz 9: k3
tung4bou6	t u: N4 b ow6
tung4hang4	t u: N4 h 6 N4
tung4keui5	t u: N4 k 9y5
tung4lou6	t u: N4 l ow6
meng2	m E: N2
ming4yi6	m i: N4 j i:6
ming4daan1	m i: N4 d a: n1
meng2tong4	m E: N2 t O: N4
ming4ji6	m i: N4 dz i:6
meng2haau6	m E: N2 h a:w6
ming4hei3	m i: N4 h ej3
ming4pin2	m i: N4 p i: n2
ming4paai4	m i: N4 p a:j4
ming4hyun2	m i: N4 h y: n2
ming4ching1	m i: N4 ts i: N1
ming4sing3	m i: N4 s i: N3
ming4aak6	m i: N4 a: k6
hau6	h 6w6
hau6doi6	h 6w6 d O:j6
hau6dou3	h 6w6 d ow3
hau6wai6	h 6w6 w 6j6
hau6lai4	h 6w6 l 6j4
hau6cheung4	h 6w6 ts 9: N4
hau6bei6luk1	h 6w6 b ej6 l u: k1
hau6tau4	h 6w6 t 6w4
hau6mei6	h 6w6 m ej6
hau6hong2	h 6w6 h O: N2
hau6nin2	h 6w6 n i: n2
hau6fui3	h 6w6 f u:j3
hau6waan6	h 6w6 w a: n6
hau6yat6	h 6w6 j 6 t6
hau6maan5	h 6w6 m a: n5
hau6kei4	h 6w6 k ej4
hau6loi4	h 6w6 l O:j4
hau6go2	h 6w6 g O:2
hau6hoi2	h 6w6 h O:j2
hau6sang1	h 6w6 s 6 N1
hau6saang1jai2	h 6w6 s a: N1 dz 6j2
hau6sang1leui5	h 6w6 s 6 N1 l 9y5
hau6kap1	h 6w6 k 6 p1
hau6bui6	h 6w6 b u:j6
hau6yiu1	h 6w6 j iw1
hau6teui2	h 6w6 t 9y2
hau6gaai1	h 6w6 g a:j1
hau6lou6	h 6w6 l ow6
hau6bin1	h 6w6 b i: n1
hau6mun4	h 6w6 m u: n4
hau6fong4	h 6w6 f O: N4
hau6yun4	h 6w6 j y: n4
hau6min6	h 6w6 m i: n6
heung3	h 9: N3
heung3seung6	h 9: N3 s 9: N6
heung3ha6	h 9: N3 h a:6
