<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
十四号	sap6sei3hou6	s 6 p _6 . s ej _3 . h ow _6
十四日	sap6sei3yat6	s 6 p _6 . s ej _3 . j 6 t _6
十日	sap6yat6	s 6 p _6 . j 6 t _6
十月	sap6yut6	s 6 p _6 . j y: t _6
千里	chin1lei5	ts i: n _1 . l ej _5
升	sing1	s i: N _1
升高	sing1gou1	s i: N _1 . g ow _1
半	bun3	b u: n _3
半岛	bun3dou2	b u: n _3 . d ow _2
卌五	se3ng5	s E: _3 . N _5	s E: _3 . m _5
华润	wa4yeun6	w a: _4 . j 9: n _6
协助	hip3jo6	h i: p _3 . dz O: _6
协议	hip6yi5	h i: p _6 . j i: _5
单	daan1	d a: n _1
单位	daan1wai2	d a: n _1 . w 6j _2
单向	daan1heung3	d a: n _1 . h 9: N _3
卖	maai6	m a:j _6
南	naam4	n a: m _4
南京	naam4ging1	n a: m _4 . g i: N _1
南北朝	naam4bak1chiu4	n a: m _4 . b 6 k _1 . ts iw _4
南宁	naam4ning4	n a: m _4 . n i: N _4
南斯拉夫	naam4si1lai1fu1	n a: m _4 . s i: _1 . l 6j _1 . f u: _1
占	jim1	dz i: m _1	dz i: m _3
卡	ka1	k a: _1
卫生	wai6sang1	w 6j _6 . s 6 N _1
印	yan3	j 6 n _3
印度	yan3dou6	j 6 n _3 . d ow _6
印花	yan3fa1	j 6 n _3 . f a: _1
危机	ngai4gei1	N 6j _4 . g ej _1
危险	ngai4him2	N 6j _4 . h i: m _2
即	jik1	dz i: k _1
即兴	jik1hing3	dz i: k _1 . h i: N _3
却	keuk3	k 9: k _3
卷入	gyun2yap6	g y: n _2 . j 6 p _6
厂商	chong2seung1	ts O: N _2 . s 9: N _1
厅长	teng1jeung2	t E: N _1 . dz 9: N _2
历代	lik6doi6	l i: k _6 . d O:j _6
历史	lik6si2	l i: k _6 . s i: _2
历史性	lik6si2sing3	l i: k _6 . s i: _2 . s i: N _3
压力	ngaat3lik6	N a: t _3 . l i: k _6
压抑	ngaat3yik1	N a: t _3 . j i: k _1
厚	hau5	h 6w _5
原	yun4	j y: n _4
原因	yun4yan1	j y: n _4 . j 6 n _1
原本	yun4bun2	j y: n _4 . b u: n _2
原来	yun4loi4	j y: n _4 . l O:j _4
原石油	yun4sek6yau4	j y: n _4 . s E: k _6 . j 6w _4
去	heui3	h 9y _3
去年	heui3nin2	h 9y _3 . n i: n _2
参半	chaam1bun3	ts a: m _1 . b u: n _3
又	yau6	j 6w _6
及	kap6	k 6 p _6
友	yau5	j 6w _5
友善	yau5sin6	j 6w _5 . s i: n _6
友好	yau5hou2	j 6w _5 . h ow _2
双	seung1	s 9: N _1
双城	seung1sing4	s 9: N _1 . s i: N _4
双方	seung1fong1	s 9: N _1 . f O: N _1
双边	seung1bin1	s 9: N _1 . b i: n _1
反	faan2	f a: n _2
反应	faan2ying3	f a: n _2 . j i: N _3
反映	faan2ying2	f a: n _2 . j i: N _2
反而	faan2yi4	f a: n _2 . j i: _4
发光	faat3gwong1	f a: t _3 . gw O: N _1
发展	faat3jin2	f a: t _3 . dz i: n _2
发展中	faat3jin2jung1	f a: t _3 . dz i: n _2 . dz u: N _1
发挥	faat3fai1	f a: t _3 . f 6j _1
发放	faat3fong3	f a: t _3 . f O: N _3
发源	faat3yun4	f a: t _3 . j y: n _4
发源地	faat3yun4dei6	f a: t _3 . j y: n _4 . d ej _6
发热	faat3yit6	f a: t _3 . j i: t _6
发现	faat3yin6	f a: t _3 . j i: n _6
发生	faat3sang1	f a: t _3 . s 6 N _1
发电厂	faat3din6chong2	f a: t _3 . d i: n _6 . ts O: N _2
取	cheui2	ts 9y _2
取代	cheui2doi6	ts 9y _2 . d O:j _6
取决	cheui2kyut3	ts 9y _2 . k y: t _3
取得	cheui2dak1	ts 9y _2 . d 6 k _1
取消	cheui2siu1	ts 9y _2 . s iw _1
受	sau6	s 6w _6
受到	sau6dou3	s 6w _6 . d ow _3
受惠	sau6wai6	s 6w _6 . w 6j _6
变	bin3	b i: n _3
变化	bin3fa3	b i: n _3 . f a: _3
变卖	bin3maai6	b i: n _3 . m a:j _6
变得	bin3dak1	b i: n _3 . d 6 k _1
变种	bin3jung2	b i: n _3 . dz u: N _2
口	hau2	h 6w _2
口感	hau2gam2	h 6w _2 . g 6 m _2
古	gu2	g u: _2
古人	gu2yan4	g u: _2 . j 6 n _4
古代	gu2doi6	g u: _2 . d O:j _6
古物	gu2mat6	g u: _2 . m 6 t _6
古老	gu2lou5	g u: _2 . l ow _5
古迹	gu2jik1	g u: _2 . dz i: k _1
句	geui3	g 9y _3
句式	geui3sik1	g 9y _3 . s i: k _1
另	ling6	l i: N _6
另外	ling6ngoi6	l i: N _6 . N O:j _6
另眼相看	ling6ngaan5seung1hon1	l i: N _6 . N a: n _5 . s 9: N _1 . h O: n _1
只	jik2	dz i: k _2
只不过	ji2bat1gwo3	dz i: _2 . b 6 t _1 . gw O: _3
只好	ji2hou2	dz i: _2 . h ow _2
只得	ji2dak1	dz i: _2 . d 6 k _1
只是	ji2si6	dz i: _2 . s i: _6
只有	ji2yau5	dz i: _2 . j 6w _5
只能	ji2nang4	dz i: _2 . l 6 N _4	dz i: _2 . n 6 N _4
只要	ji2yiu3	dz i: _2 . j iw _3
只顾	ji2gu3	dz i: _2 . g u: _3
叫	giu3	g iw _3
可	ho2	h O: _2
可以	ho2yi5	h O: _2 . j i: _5
可信	ho2seun3	h O: _2 . s 9: n _3
可是	ho2si6	h O: _2 . s i: _6
可溶性	ho2yung4sing3	h O: _2 . j y: N _4 . s i: N _3
可能	ho2nang4	h O: _2 . n 6 N _4
可能性	ho2nang4sing3	h O: _2 . n 6 N _4 . s i: N _3
台	toi4	t O:j _4
台北	toi4bak1	t O:j _4 . b 6 k _1
台州	toi4jau1	t O:j _4 . dz 6w _1
台湾	toi4waan1	t O:j _4 . w a: n _1
台风	toi4fung1	t O:j _4 . f u: N _1
右脑	yau6nou5	j 6w _6 . n ow _5
叶利钦	yip6lei6yam1	j i: p _6 . l ej _6 . j 6 m _1
号称	hou6ching1	h ow _6 . ts i: N _1
吃	hek3	h E: k _3
吃药	hek3yeuk6	h E: k _3 . j 9: k _6
各	gok3	g O: k _3
各出奇谋	gok3cheut1kei4mau4	g O: k _3 . ts 9: t _1 . k ej _4 . m 6w _4
各执一词	gok3jap1yat1chi4	g O: k _3 . dz 6 p _1 . j 6 t _1 . ts i: _4
合	hap6	h 6 p _6
合作	hap6jok3	h 6 p _6 . dz O: k _3
合同	hap6tung4	h 6 p _6 . t u: N _4
合法	hap6faat3	h 6 p _6 . f a: t _3
合肥	hap6fei4	h 6 p _6 . f ej _4
吉祥	gat1cheung4	g 6 t _1 . ts 9: N _4
吊	diu3	d iw _3
吊车	diu3che1	d iw _3 . ts E: _1
同	tung4	t u: N _4
同事	tung4si6	t u: N _4 . s i: _6
同学	tung4hok6	t u: N _4 . h O: k _6
同时	tung4si4	t u: N _4 . s i: _4
同样	tung4yeung6	t u: N _4 . j 9: N _6
同行	tung4hang4	t u: N _4 . h 6 N _4
名	meng2	m E: N _2
名人	ming4yan4	m i: N _4 . j 6 n _4
名字	ming4ji6	m i: N _4 . dz i: _6
名存实亡	meng2chyun4sat6mong4	m E: N _2 . ts y: n _4 . s 6 t _6 . m O: N _4
名将	ming4jeung3	m i: N _4 . dz 9: N _3
名校	meng2haau6	m E: N _2 . h a:w _6
名节	meng2jit3	m E: N _2 . dz i: t _3
后	hau6	h 6w _6
后天	hau6tin1	h 6w _6 . t i: n _1
后年	hau6nin2	h 6w _6 . n i: n _2
后日	hau6yat6	h 6w _6 . j 6 t _6
后来	hau6loi4	h 6w _6 . l O:j _4
向	heung3	h 9: N _3
向下	heung3ha6	h 9: N _3 . h a: _6
向导	heung2dou6	h 9: N _2 . d ow _6
向明	heung3ming4	h 9: N _3 . m i: N _4
吗	ma3	m a: _3
君	gwan1	gw 6 n _1
君子	gwan1ji2	gw 6 n _1 . dz i: _2
听	teng1	t E: N _1	t i: N _1
听日	ting1yat6	t i: N _1 . j 6 t _6
启东	kai2dung1	k 6j _2 . d u: N _1
启程	kai2ching4	k 6j _2 . ts i: N _4
吴容孜	ng4yung4ji1	N _4 . j y: N _4 . dz i: _1
吴必菱	ng4bit1ling4	N _4 . b i: t _1 . l i: N _4
吴桥	m4kiu4	N _4 . k iw _4	m _4 . k iw _4
吴江	ng4gong1	N _4 . g O: N _1
吴雅雯	ng4nga5man4	N _4 . N a: _5 . m 6 n _4
吵架	chaau2ga3	ts a:w _2 . g a: _3
吸收	kap1sau1	k 6 p _1 . s 6w _1
告别	gou3bit6	g ow _3 . b i: t _6
告辞	gou3chi4	g ow _3 . ts i: _4
员工	yun4gung1	j y: n _4 . g u: N _1
呢	ni1	n i: _1	n ej _1	n E: _2	l ej _1
呢	ne1	n E: _1
周围	jau1wai4	dz 6w _1 . w 6j _4
周年	jau1nin4	dz 6w _1 . l i: n _4	dz 6w _1 . n i: n _4
周末	jau1mut6	dz 6w _1 . m u: t _6
味	mei6	m ej _6	m ej _2
味道	mei6dou6	m ej _6 . d ow _6
呼吸	fu1kap1	f u: _1 . k 6 p _1
呼和浩特	fu1wo4hou6dak6	f u: _1 . w O: _4 . h ow _6 . d 6 k _6
命	ming6	m i: N _6
命理	ming6lei5	m i: N _6 . l ej _5
命运	ming6wan6	m i: N _6 . w 6 n _6
咋	ja1	dz a: _1	dz a: _3	dz a: k _1
和	wo4	w O: _4
和平	wo4ping4	w O: _4 . p i: N _4
和谐	wo4haai4	w O: _4 . h a:j _4
咖啡	ga3fe1	g a: _3 . f E: _1
咖啡因	ga3fe1yan1	g a: _3 . f E: _1 . j 6 n _1
咨询	ji1seun1	dz i: _1 . s 9: n _1
咪	mai6	m 6j _6
咪	mai1	m 6j _1
咫尺	ji2chek3	dz i: _2 . ts E: k _3
咬伤	ngaau5seung1	N a:w _5 . s 9: N _1
咸宁	haam4ning4	h a: m _4 . n i: N _4
哀悼	ngoi1dou6	N O:j _1 . d ow _6
哥德堡	go1dak1bou2	g O: _1 . d 6 k _1 . b ow _2
哥洛文拿斯	go1lok6man2na4si1	g O: _1 . l O: k _6 . m 6 n _2 . n a: _4 . s i: _1
哪	na3	n a: _3	n a: _5
哲学	jit3hok6	dz i: t _3 . h O: k _6
唐家	tong4ga1	t O: N _4 . g a: _1
唐朝	tong4chiu4	t O: N _4 . ts iw _4
唔	m4	m _4
唤醒	wun6seng2	w u: n _6 . s E: N _2	w u: n _6 . s i: N _2
售卖	sau6maai6	s 6w _6 . m a:j _6
唯一	wai4yat1	w 6j _4 . j 6 t _1
商丘	seung1yau1	s 9: N _1 . j 6w _1
商务部	seung1mou6bou6	s 9: N _1 . m ow _6 . b ow _6
商定	seung1ding6	s 9: N _1 . d i: N _6
啊	a1	a: _1	a: _6
啧啧称奇	jaak3jaak3ching1kei4	dz a: k _3 . dz a: k _3 . ts i: N _1 . k ej _4	dz i: k _3 . dz i: k _3 . ts i: N _1 . k ej _4
喀斯特地貌	haak3si1dak6dei6maau6	h a: k _3 . s i: _1 . d 6 k _6 . d ej _6 . m a:w _6
喂	wai3	w 6j _3
喂饲	wai3ji6	w 6j _3 . dz i: _6
善	sin6	s i: n _6
善缘	sin6yun4	s i: n _6 . j y: n _4
喘息	chyun2sik1	ts y: n _2 . s i: k _1
喘气	chyun2hei3	ts y: n _2 . h ej _3
喜	hei1	h ej _1	h ej _2
喜欢	hei2fun1	h ej _2 . f u: n _1
喜爱	hei2ngoi3	h ej _2 . N O:j _3
喝	hot3	h O: t _3
喷水	pan3seui2	p 6 n _3 . s 9y _2
喺	hai2	h 6j _2
嗜好	si3hou3	s i: _3 . h ow _3
嘅	ge3	g E: _3
嘅	gei3	g ej _3
嘉儿	ga1yi4	g a: _1 . j i: _4
嚟	lei4	l ej _4
四	sei3	s ej _3
四万	sei3maan6	s ej _3 . m a: n _6
四亿	sei3yik1	s ej _3 . j i: k _1
四十	sei3sap6	s ej _3 . s 6 p _6
四十一	sei3sap6yat1	s ej _3 . s 6 p _6 . j 6 t _1
四十一万	sei3sap6yat1maan6	s ej _3 . s 6 p _6 . j 6 t _1 . m a: n _6
四十七	sei3sap6chat1	s ej _3 . s 6 p _6 . ts 6 t _1
四十七万	sei3sap6chat1maan6	s ej _3 . s 6 p _6 . ts 6 t _1 . m a: n _6
四十三	sei3sap6saam1	s ej _3 . s 6 p _6 . s a: m _1
四十三万	sei3sap6saam1maan6	s ej _3 . s 6 p _6 . s a: m _1 . m a: n _6
四十九	sei3sap6gau2	s ej _3 . s 6 p _6 . g 6w _2
四十二	sei3sap6yi6	s ej _3 . s 6 p _6 . j i: _6
四十二万	sei3sap6yi6maan6	s ej _3 . s 6 p _6 . j i: _6 . m a: n _6
四十八	sei3sap6baat3	s ej _3 . s 6 p _6 . b a: t _3
四十六	sei3sap6luk6	s ej _3 . s 6 p _6 . l u: k _6
四十六万	sei3sap6luk6maan6	s ej _3 . s 6 p _6 . l u: k _6 . m a: n _6
四十四	sei3sap6sei3	s ej _3 . s 6 p _6 . s ej _3
四千	sei3chin1	s ej _3 . ts i: n _1
四川	sei3chyun1	s ej _3 . ts y: n _1
四日	sei3yat6	s ej _3 . j 6 t _6
四月	sei3yut6	s ej _3 . j y: t _6
四月份	sei3yut6fan6	s ej _3 . j y: t _6 . f 6 n _6
四百	sei3baak3	s ej _3 . b a: k _3
回	wui4	w u:j _4
回到	wui4dou3	w u:j _4 . d ow _3
回国	wui4gwok3	w u:j _4 . gw O: k _3
回头	wui4tau4	w u:j _4 . t 6w _4
回归	wui4gwai1	w u:j _4 . gw 6j _1
回顾	wui4gu3	w u:j _4 . g u: _3
因	yan1	j 6 n _1
因为	yan1wai6	j 6 n _1 . w 6j _6
团伙	tyun4fo2	t y: n _4 . f O: _2
团长	tyun4jeung2	t y: n _4 . dz 9: N _2
园	yun4	j y: n _4	j y: n _2
困境	kwan3ging2	kw 6 n _3 . g i: N _2
国	gwok3	gw O: k _3
国企	gwok3kei5	gw O: k _3 . k ej _5
国伟	gwok3wai5	gw O: k _3 . w 6j _5
国内	gwok3noi6	gw O: k _3 . n O:j _6
国土	gwok3tou2	gw O: k _3 . t ow _2
国安	gwok3ngon1	gw O: k _3 . N O: n _1	gw O: k _3 . O: n _1
国家	gwok3ga1	gw O: k _3 . g a: _1
国庆节	gwok3hing3jit3	gw O: k _3 . h i: N _3 . dz i: t _3
国民	gwok3man4	gw O: k _3 . m 6 n _4
国民党	gwok3man4dong2	gw O: k _3 . m 6 n _4 . d O: N _2
国电	gwok3din6	gw O: k _3 . d i: n _6
国语	gwok3yu5	gw O: k _3 . j y: _5
国铁	gwok3tit3	gw O: k _3 . t i: t _3
国际	gwok3jai3	gw O: k _3 . dz 6j _3
图	tou4	t ow _4
圈	hyun1	h y: n _1
土地	tou2dei6	t ow _2 . d ej _6
圣	sing3	s i: N _3
圣彼得堡	sing3bei2dak1bou2	s i: N _3 . b ej _2 . d 6 k _1 . b ow _2
圣火	sing3fo2	s i: N _3 . f O: _2
圣莱达	sing3loi4daat6	s i: N _3 . l O:j _4 . d a: t _6
圣诞	sing3daan3	s i: N _3 . d a: n _3
在	joi3	dz O:j _3
在世	joi6sai3	dz O:j _6 . s 6j _3
在于	joi6yu1	dz O:j _6 . j y: _1
地	dei6	d ej _6
地中海	dei6jung1hoi2	d ej _6 . dz u: N _1 . h O:j _2
地区	dei6keui1	d ej _6 . k 9y _1
地名	dei6ming4	d ej _6 . m E: N _2	d ej _6 . m i: N _4
地方	dei6fong1	d ej _6 . f O: N _1
地球	dei6kau4	d ej _6 . k 6w _4
场	cheung4	ts 9: N _4
场合	cheung4hap6	ts 9: N _4 . h 6 p _6
场所	cheung4so2	ts 9: N _4 . s O: _2
均	gwan1	gw 6 n _1
坏	waai6	w a:j _6
坐坐	cho5cho5	ts O: _5 . ts O: _5
坚守	gin1sau2	g i: n _1 . s 6w _2
坚强	gin1keung4	g i: n _1 . k 9: N _4
坚持	gin1chi4	g i: n _1 . ts i: _4
埃	aai1	a:j _1
埃塞俄比亚	aai1choi3ngo4bei2nga3	O:j _1 . ts O:j _3 . N O: _4 . b ej _2 . N a: _3	a:j _1 . ts O:j _3 . N O: _4 . b ej _2 . N a: _3
城	seng2	s E: N _2	s i: N _2
城区	sing4keui1	s i: N _4 . k 9y _1
城市	sing4si5	s i: N _4 . s i: _5
培养	pui4yeung5	p u:j _4 . j 9: N _5
基于	gei1yu1	g ej _1 . j y: _1
基因	gei1yan1	g ej _1 . j 6 n _1
基本	gei1bun2	g ej _1 . b u: n _2
基本上	gei1bun2seung6	g ej _1 . b u: n _2 . s 9: N _6
基金	gei1gam1	g ej _1 . g 6 m _1
堆	deui1	d 9y _1
增	jang1	dz 6 N _1
增加	jang1ga1	dz 6 N _1 . g a: _1
增强	jang1keung4	dz 6 N _1 . k 9: N _4
增长	jang1jeung2	dz 6 N _1 . dz 9: N _2
墨斗	mak6dau3	m 6 k _6 . d 6w _3
墨汁	mak6jap1	m 6 k _6 . dz 6 p _1
墨西哥	mak6sai1go1	m 6 k _6 . s 6j _1 . g O: _1
壁	bik1	b i: k _1
壁垒	bik1leui5	b i: k _1 . l 9y _5
士兵	si6bing1	s i: _6 . b i: N _1
声音	seng1yam1	s E: N _1 . j 6 m _1
壶口瀑布	wu4hau2buk6bou3	w u: _4 . h 6w _2 . b u: k _6 . b ow _3
处	chyu2	ts y: _2	ts y: _5
处	chyu3	ts y: _3
处于	chyu5yu1	ts y: _5 . j y: _1
处理	chyu5lei5	ts y: _5 . l ej _5	ts y: _2 . l ej _5
复杂	fuk1jaap6	f u: k _1 . dz a: p _6
外人	ngoi6yan4	N O:j _6 . j 6 n _4
外来词	ngoi6loi4chi4	N O:j _6 . l O:j _4 . ts i: _4
外界	ngoi6gaai3	N O:j _6 . g a:j _3
多	do1	d O: _1
多年来	do1nin4loi4	d O: _1 . n i: n _4 . l O:j _4
夜晚	ye6maan5	j E: _6 . m a: n _5
夜猫族	ye6maau1juk6	j E: _6 . m a:w _1 . dz u: k _6
大	daai6	d a:j _6
大使	daai6si5	d a:j _6 . s i: _5
大前年	daai6chin4nin2	d a:j _6 . ts i: n _4 . n i: n _2
大前日	daai6chin4yat6	d a:j _6 . ts i: n _4 . j 6 t _6
大力	daai6lik6	d a:j _6 . l i: k _6
大哥	daai6go1	d a:j _6 . g O: _1
大多	daai6do1	d a:j _6 . d O: _1
大多数	daai6do1sou3	d a:j _6 . d O: _1 . s ow _3
大大	daai6daai6	d a:j _6 . d a:j _6
大夫	daai6fu1	d a:j _6 . f u: _1
大妈	daai6ma1	d a:j _6 . m a: _1
大学	daai6hok6	d a:j _6 . h O: k _6
大家	daai6ga1	d a:j _6 . g a: _1
大律师	daai6leut6si1	d a:j _6 . l 9: t _6 . s i: _1
大战	daai6jin3	d a:j _6 . dz i: n _3
大批	daai6pai1	d a:j _6 . p 6j _1
大方	daai6fong1	d a:j _6 . f O: N _1
大概	daai6koi3	d a:j _6 . k O:j _3
大气	daai6hei3	d a:j _6 . h ej _3
大江南北	daai6gong1naam4bak1	d a:j _6 . g O: N _1 . n a: m _4 . b 6 k _1
大泉池	daai6chyun4chi4	d a:j _6 . ts y: n _4 . ts i: _4
大状	daai6jong6	d a:j _6 . dz O: N _6
大约	daai6yeuk3	d a:j _6 . j 9: k _3
大自然	daai6ji6yin4	d a:j _6 . dz i: _6 . j i: n _4
大草原	daai6chou2yun4	d a:j _6 . ts ow _2 . j y: n _4
大计	daai6gai3	d a:j _6 . g 6j _3
大象	daai6jeung6	d a:j _6 . dz 9: N _6
大起大落	daai6hei2daai6lok6	d a:j _6 . h ej _2 . d a:j _6 . l O: k _6
大量	daai6leung6	d a:j _6 . l 9: N _6
天	tin1	t i: n _1
天下	tin1ha6	t i: n _1 . h a: _6
天地	tin1dei6	t i: n _1 . d ej _6
天才	tin1choi4	t i: n _1 . ts O:j _4
天星码头	tin1sing1ma5tau4	t i: n _1 . s i: N _1 . m a: _5 . t 6w _4
天桥	tin1kiu4	t i: n _1 . k iw _4
天气	tin1hei3	t i: n _1 . h ej _3
天河路	tin1ho4lou6	t i: n _1 . h O: _4 . l ow _6
天涯	tin1ngaai4	t i: n _1 . N a:j _4
天色	tin1sik1	t i: n _1 . s i: k _1
天赋	tin1fu3	t i: n _1 . f u: _3
太	taai3	t a:j _3
太太	taai3taai2	t a:j _3 . t a:j _2
太平洋	taai3ping4yeung4	t a:j _3 . p i: N _4 . j 9: N _4
太空	taai3hung1	t a:j _3 . h u: N _1
太阳	taai3yeung4	t a:j _3 . j 9: N _4
失	sat1	s 6 t _1
失去	sat1heui3	s 6 t _1 . h 9y _3
失望	sat1mong6	s 6 t _1 . m O: N _6
失色	sat1sik1	s 6 t _1 . s i: k _1
失落	sat1lok6	s 6 t _1 . l O: k _6
失败	sat1baai6	s 6 t _1 . b a:j _6
头	tau4	t 6w _4
头痛	tau4tung3	t 6w _4 . t u: N _3
头皮	tau4pei4	t 6w _4 . p ej _4
夺	dyut6	d y: t _6
奇异果	kei4yi6gwo3	k ej _4 . j i: _6 . gw O: _3
奇花异草	kei4fa1yi6chou2	k ej _4 . f a: _1 . j i: _6 . ts ow _2
套	tou3	t ow _3
套现	tou3yin6	t ow _3 . j i: n _6
奥运	ou3wan6	N ow _3 . w 6 n _6	ow _3 . w 6 n _6
女	neui5	n 9y _5
女人	neui5yan2	n 9y _5 . j 6 n _2
女孩子	neui5haai4ji2	n 9y _5 . h a:j _4 . dz i: _2
女强人	neui5keung4yan4	n 9y _5 . k 9: N _4 . j 6 n _4
她	ta1	t a: _1
好	hou3	h ow _3
好事	hou2si6	h ow _2 . s i: _6
好处	hou2chyu3	h ow _2 . ts y: _3	h ow _2 . ts y: _5
好比	hou3bei2	h ow _3 . b ej _2
好胜	hou3sing3	h ow _3 . s i: N _3
如	yu4	j y: _4
如今	yu4gam1	j y: _4 . g 6 m _1	j y: _4 . g 6 n _1
如何	yu4ho4	j y: _4 . h O: _4
如意	yu4yi3	j y: _4 . j i: _3
如果	yu4gwo2	j y: _4 . gw O: _2
如此	yu4chi2	j y: _4 . ts i: _2
妇女节	fu5neui5jit3	f u: _5 . n 9y _5 . dz i: t _3
妥善	to5sin6	t O: _5 . s i: n _6
姊	je2	dz E: _2	dz i: _2
始终	chi2jung1	ts i: _2 . dz u: N _1
姐妹	je2mui6	dz E: _2 . m u:j _6
姚政哲	yiu4jing3jit3	j iw _4 . dz i: N _3 . dz i: t _3
姜宗翰	geung1jung1hon6	g 9: N _1 . dz u: N _1 . h O: n _6
姻	yan1	j 6 n _1
威海	wai1hoi2	w 6j _1 . h O:j _2
威胁	wai1hip3	w 6j _1 . h i: p _3
娄底	lau4dai2	l 6w _4 . d 6j _2
娘家	neung4ga1	n 9: N _4 . g a: _1
婆有婆理	po4yau5po4lei5	p O: _4 . j 6w _5 . p O: _4 . l ej _5
婚姻	fan1yan1	f 6 n _1 . j 6 n _1
婴儿	ying1yi4	j i: N _1 . j i: _4
媒介	mui4gaai3	m u:j _4 . g a:j _3
嫉妒	jat6dou3	dz 6 t _6 . d ow _3
子	ji2	dz i: _2
子女	ji2neui5	dz i: _2 . n 9y _5
子聪	ji2chung1	dz i: _2 . ts u: N _1
孕育	yan6yuk6	j 6 n _6 . j y: k _6
孖	ma1	m a: _1
字	ji6	dz i: _6
存	chyun4	ts y: n _4
存在	chyun4joi6	ts y: n _4 . dz O:j _6
存心	chyun4sam1	ts y: n _4 . s 6 m _1
孙	syun1	s y: n _1
孙汉辛	syun1hon3san1	s y: n _1 . h O: n _3 . s 6 n _1
孙纪睿	syun1gei2yeui6	s y: n _1 . g ej _2 . j 9y _6
孝感	haau3gam2	h a:w _3 . g 6 m _2
孤独	gu1duk6	g u: _1 . d u: k _6
学业	hok6yip6	h O: k _6 . j i: p _6
学习	hok6jaap6	h O: k _6 . dz a: p _6
学会	hok6wui2	h O: k _6 . w u:j _2
学历	hok6lik6	h O: k _6 . l i: k _6
学校	hok6haau6	h O: k _6 . h a:w _6
学生	hok6sang1	h O: k _6 . s 6 N _1
学艺	hok6ngai6	h O: k _6 . N 6j _6
宁波	ning4bo1	n i: N _4 . b O: _1
它	ta1	t a: _1
它们	ta1mun4	t a: _1 . m u: n _4
安	on1	O: n _1	N O: n _1
安全	ngon1chyun4	N O: n _1 . ts y: n _4
安全感	on1chyun4gam2	O: n _1 . ts y: n _4 . g 6 m _2	N O: n _1 . ts y: n _4 . g 6 m _2	N O: n _1 . ts y: n _4 . g 6 n _2
安徽	on1fai1	O: n _1 . f 6j _1	N O: n _1 . f 6j _1
安置	on1ji3	O: n _1 . dz i: _3
安装	on1jong1	O: n _1 . dz O: N _1	N O: n _1 . dz O: N _1
安阳	on1yeung4	N O: n _1 . j 9: N _4	O: n _1 . j 9: N _4
完	yun4	j y: n _4
完全	yun4chyun4	j y: n _4 . ts y: n _4
完善	yun4sin6	j y: n _4 . s i: n _6
完成	yun4sing4	j y: n _4 . s i: N _4
完整	yun4jing2	j y: n _4 . dz i: N _2
宗	jung1	dz u: N _1
官员	gun1yun4	g u: n _1 . j y: n _4
官方	gun1fong1	g u: n _1 . f O: N _1
定义	ding6yi6	d i: N _6 . j i: _6
定力	ding6lik6	d i: N _6 . l i: k _6
宜华	yi4wa4	j i: _4 . w a: _4
宜宾	yi4ban1	j i: _4 . b 6 n _1
宜州	yi4jau1	j i: _4 . dz 6w _1
宝石	bou2sek6	b ow _2 . s E: k _6
宝鸡	bou2gai1	b ow _2 . g 6j _1
实业	sat6yip6	s 6 t _6 . j i: p _6
实在	sat6joi6	s 6 t _6 . dz O:j _6
实施	sat6si1	s 6 t _6 . s i: _1
客	haak3	h a: k _3
客人	haak3yan4	h a: k _3 . j 6 n _4
客家人	haak3ga1yan4	h a: k _3 . g a: _1 . j 6 n _4
宣传	syun1chyun4	s y: n _1 . ts y: n _4
家	ga1	g a: _1
家世	ga1sai3	g a: _1 . s 6j _3
家乡	ga1heung1	g a: _1 . h 9: N _1
家人	ga1yan4	g a: _1 . j 6 n _4
家史	ga1si2	g a: _1 . s i: _2
家园	ga1yun4	g a: _1 . j y: n _4
家岚	ga1laam4	g a: _1 . l a: m _4
家庭	ga1ting4	g a: _1 . t i: N _4	g a: _1 . t i: n _4
家长	ga1jeung2	g a: _1 . dz 9: N _2
容人	yung4yan4	j y: N _4 . j 6 n _4
容器	yung4hei3	j y: N _4 . h ej _3
容易	yung4yi6	j y: N _4 . j i: _6
容纳	yung4naap6	j y: N _4 . n a: p _6
宽心	fun1sam1	f u: n _1 . s 6 m _1
宽阔	fun1fut3	f u: n _1 . f u: t _3
宾阳	ban1yeung4	b 6 n _1 . j 9: N _4
寄托	gei3tok3	g ej _3 . t O: k _3
密码	mat6ma5	m 6 t _6 . m a: _5
富	fu3	f u: _3
富足	fu3juk1	f u: _3 . dz u: k _1
富阳	fu3yeung4	f u: _3 . j 9: N _4
寓意	yu6yi3	j y: _6 . j i: _3
对	deui3	d 9y _3
对于	deui3yu1	d 9y _3 . j y: _1
对劲	deui3ging6	d 9y _3 . g i: N _6
对外	deui3ngoi6	d 9y _3 . N O:j _6
对方	deui3fong1	d 9y _3 . f O: N _1
对症下药	deui3jing3ha2yeuk6	d 9y _3 . dz i: N _3 . h a: _2 . j 9: k _6
寺	ji6	dz i: _6
寺院	ji6yun2	dz i: _6 . j y: n _2
寻常	cham4seung4	ts 6 m _4 . s 9: N _4
寻求	cham4kau4	ts 6 m _4 . k 6w _4
导致	dou6ji3	d ow _6 . dz i: _3
封闭	fung1bai3	f u: N _1 . b 6j _3
射	se6	s E: _6
将	jeung1	dz 9: N _1
将近	jeung1gan6	dz 9: N _1 . g 6 n _6
