ሀም	h1m6	h a m
እንደማይመጣልኝ	?6n6d1m4y6m1T4l6J6	? 1 n . d @ m . m a j . m @ . t> a l . l 1 J J
እንደማይበላ	?6n6d1m4y6b1l4	? 1 n . d @ m . m a j . j 1 b . b @ l . l a	? 1 n . d @ m . m a j . b @ . l a
እንደማይቸግረኝ	?6n6d1m4y6c1g6r1J6	? 1 n . d @ m . m a j . tS @ g . g 1 . r @ J J
እንደማይገኝ	?6n6d1m4y6g1J6	? 1 n . d @ m . m a . j 1 g . g @ J J
እንደማደርገው	?6n6d1m4d1r6g1w6	? 1 n . d @ m . m a . d @ r . g @ w
እንደማደርጋት	?6n6d1m4d1r6g4t6	? 1 n . d @ m . m a . d @ r . g a t
እንደምለው	?6n6d1m6l1w6	? 1 n . d @ m . m 1 . l @ w
እንደምልሽ	?6n6d1m6l6sh6	? 1 n . d @ m . m 1 . l 1 S
እንደምመለከት	?6n6d1m6m1l1k1t6	? 1 n . d @ m . m 1 m . m @ . l @ k . k @ t
እንደምመታሽ	?6n6d1m6m1t4sh6	? 1 n . d @ m . m 1 . m @ . t a S
እንደምቀበላት	?6n6d1m6K1b1l4t6	? 1 n . d @ m . m 1 k> . k> @ b . b @ . l a t
እንደምቀይር	?6n6d1m6K1y6r6	? 1 n . d @ m . m 1 . k> @ j . j 1 r
እንደምታልፍ	?6n6d1m6t4l6f6	? 1 n . d @ m . m 1 t . t a l f
እንደምታስመሰክር	?6n6d1m6t4s6m1s1k6r6	? 1 n . d @ m . m 1 t . t a s . m @ . s @ k . k 1 r
እንደምታስበው	?6n6d1m6t4s6b1w6	? 1 n . d @ m . m 1 t . t a s . s 1 . b @ w
እንደምታስቢ	?6n6d1m6t4s6b3	? 1 n . d @ m . m 1 t . t a s . s 1 . b i
እንደምታቂው	?6n6d1m6t4K3w6	? 1 n . d @ m . m 1 t . t a . k> i w
እንደምታወሪ	?6n6d1m6t4w1r3	? 1 n . d @ m . m 1 t . t a . w @ . r i
እንደምታውቀኝ	?6n6d1m6t4w6K1J6	? 1 n . d @ m . m 1 t . t a w . k> @ J J
እንደምታውቂያት	?6n6d1m6t4w6K3y4t6	? 1 n . d @ m . m 1 t . t a w . k> i . j a t
እንደምታውቃት	?6n6d1m6t4w6K4t6	? 1 n . d @ m . m 1 t . t a w . k> a t
እንደምታውት	?6n6d1m6t4w6t6	? 1 n . d @ m . m 1 t . t a . w 1 t
እንደምታዝናኑኝ	?6n6d1m6t4z6n4n2J6	? 1 n . d @ m . m 1 t . t a z . n a n . n u J J
እንደምታዪው	?6n6d1m6t4y3w6	? 1 n . d @ m . m 1 t . t a . j i w
እንደምታዬው	?6n6d1m6t4y5w6	? 1 n . d @ m . m 1 t . t a j . j e w
እንደምታይኝ	?6n6d1m6t4y6J6	? 1 n . d @ m . m 1 t . t a . j 1 J J
እንደምታደርጊ	?6n6d1m6t4d1r6g3	? 1 n . d @ m . m 1 t . t a . d @ r . g i
እንደምትሄዱ	?6n6d1m6t6h5d2	? 1 n . d @ m . m 1 t . h e . d u
እንደምትሆን	?6n6d1m6t6h7n6	? 1 n . d @ m . m 1 t . h o n
እንደምትለን	?6n6d1m6t6l1n6	? 1 n . d @ m . m 1 t . t 1 . l @ n
እንደምትልሽ	?6n6d1m6t6l6sh6	? 1 n . d @ m . m 1 t . t 1 . l 1 S
እንደምትመስለኝ	?6n6d1m6t6m1s6l1J6	? 1 n . d @ m . m 1 t . t 1 . m @ s . l @ J J	? 1 n . d @ m . m 1 t . t 1 . m @ s . s 1 . l @ J J
እንደምትመኘው	?6n6d1m6t6m1J1w6	? 1 n . d @ m . m 1 t . t 1 m . m @ J . J @ w
እንደምትመጣ	?6n6d1m6t6m1T4	? 1 n . d @ m . m 1 t . m @ . t> a
እንደምትሰራ	?6n6d1m6t6s1r4	? 1 n . d @ m . m 1 t . s @ . r a	? 1 n . d @ m . m 1 t . t 1 s . s @ r . r a
እንደምትስም	?6n6d1m6t6s6m6	? 1 n . d @ m . m 1 t . s 1 m
እንደምትሸረድደኝ	?6n6d1m6t6sh1r1d6d1J6	? 1 n . d @ m . m 1 t . S @ . r @ d . d 1 . d @ J J
እንደምትሻው	?6n6d1m6t6sh4w6	? 1 n . d @ m . m 1 t . t 1 . S a w
እንደምትቀመጥ	?6n6d1m6t6K1m1T6	? 1 n . d @ m . m 1 t . t 1 k> . k> @ m . m @ t>
እንደምትቆይ	?6n6d1m6t6K7y6	? 1 n . d @ m . m 1 t . k> o j j
እንደምትባል	?6n6d1m6t6b4l6	? 1 n . d @ m . m 1 t . t 1 b . b a l
እንደምትነቅለው	?6n6d1m6t6n1K6l1w6	? 1 n . d @ m . m 1 t . n @ k> . l @ w
እንደምትናገር	?6n6d1m6t6n4g1r6	? 1 n . d @ m . m 1 t . t 1 n . n a g . g @ r
እንደምትናፍቁኝ	?6n6d1m6t6n4f6K2J6	? 1 n . d @ m . m 1 t . n a f . f 1 . k> u J J
እንደምትወስዱኝ	?6n6d1m6t6w1s6d2J6	? 1 n . d @ m . m 1 t . w @ s . d u J J
እንደምትወደው	?6n6d1m6t6w1d1w6	? 1 n . d @ m . m 1 t . w @ d . d @ w
እንደምትጓጊ	?6n6d1m6t6gw4g3	? 1 n . d @ m . m 1 t . t 1 . gw a g . g i
እንደምትጫወተው	?6n6d1m6t6C4w1t1w6	? 1 n . d @ m . m 1 t . t 1 tS> . tS> a w . w @ . t @ w
እንደምትፈልጊ	?6n6d1m6t6f1l6g3	? 1 n . d @ m . m 1 t . f @ l . l 1 . g i
እንደምትፈልግ	?6n6d1m6t6f1l6g6	? 1 n . d @ m . m 1 t . f @ l . l 1 g
እንደምናረግ	?6n6d1m6n4r1g6	? 1 n . d @ m . m 1 n . n a . r @ g
እንደምናይ	?6n6d1m6n4y6	? 1 n . d @ m . m 1 n . n a j
እንደምናደርጋቸው	?6n6d1m6n4d1r6g4c1w6	? 1 n . d @ m . m 1 n . n a . d @ r . g a tS . tS @ w
እንደምንሄድ	?6n6d1m6n6h5d6	? 1 n . d @ m . m 1 n . h e d
እንደምንመታው	?6n6d1m6n6m1t4w6	? 1 n . d @ m . m 1 n . n 1 m . m @ t . t a w	? 1 n . d @ m . m 1 n . m @ . t a w
እንደምንሰማው	?6n6d1m6n6s1m4w6	? 1 n . d @ m . m 1 n . s @ . m a w	? 1 n . d @ m . m 1 n . n 1 s . s @ m . m a w
እንደምንሰራ	?6n6d1m6n6s1r4	? 1 n . d @ m . m 1 n . s @ . r a
እንደምንሰራም	?6n6d1m6n6s1r4m6	? 1 n . d @ m . m 1 n . n 1 s . s @ r . r a m m	? 1 n . d @ m . m 1 n . s @ . r a m m
እንደምንደግመው	?6n6d1m6n6d1g6m1w6	? 1 n . d @ m . m 1 n . d @ g . m @ w
እንደምክር	?6n6d1m6k6r6	? 1 n . d @ . m 1 . k 1 r
እንደምወድሽ	?6n6d1m6w1d6sh6	? 1 n . d @ m . m 1 . w @ d . d 1 S
እንደምወጣ	?6n6d1m6w1T4	? 1 n . d @ m . m 1 . w @ . t> a	? 1 n . d @ m . m 1 w . w @ t> . t> a
እንደምውልም	?6n6d1m6w6l6m6	? 1 n . d @ m . m 1 . w 1 . l 1 m m	? 1 n . d @ m . m 1 w . w 1 . l 1 m m
እንደምደውልለት	?6n6d1m6d1w6l6l1t6	? 1 n . d @ m . m 1 . d @ w . w 1 . l 1 l . l @ t	? 1 n . d @ m . m 1 d . d @ w . w 1 . l 1 l . l @ t
እንደምደውልልሽ	?6n6d1m6d1w6l6l6sh6	? 1 n . d @ m . m 1 . d @ w . w 1 . l 1 l . l 1 S	? 1 n . d @ m . m 1 d . d @ w . w 1 . l 1 l . l 1 S
እንደምጠይቅ	?6n6d1m6T1y6K6	? 1 n . d @ m . m 1 . t> @ j . j 1 k>	? 1 n . d @ m . m 1 t> . t> @ j . j 1 k>
እንደምጠይቅላት	?6n6d1m6T1y6K6l4t6	? 1 n . d @ m . m 1 t> . t> @ j . j 1 . k> 1 l . l a t
እንደምጠግኑም	?6n6d1m6T1g6n2m6	? 1 n . d @ m . m 1 t> . t> @ g . g 1 . n u m m
እንደምፈልገው	?6n6d1m6f1l6g1w6	? 1 n . d @ m . m 1 . f @ l . l 1 . g @ w	? 1 n . d @ m . m 1 f . f @ l . l 1 . g @ w
እንደምፈራ	?6n6d1m6f1r4	? 1 n . d @ m . m 1 f . f @ r . r a	? 1 n . d @ m . m 1 . f @ . r a
እንደሥራው	?6n6d1sz6r4w6	? 1 n . d @ s . r a w
እንደራሱ	?6n6d1r4s2	? 1 n . d @ . r a . s u
እንደራሴ	?6n6d1r4s5	? 1 n . d @ . r a . s e
እንደራስ	?6n6d1r4s6	? 1 n . d @ . r a s
እንደሮጠ	?6n6d1r7T1	? 1 n . d @ . r o . t> @
እንደሰማሁት	?6n6d1s1m4h2t6	? 1 n . d @ . s @ m . m a . h u t
እንደሰራ	?6n6d1s1r4	? 1 n . d @ . s @ r . r a
እንደሰራሁት	?6n6d1s1r4h2t6	? 1 n . d @ . s @ r . r a . h u t
እንደሰጠን	?6n6d1s1T1n6	? 1 n . d @ . s @ t> . t> @ n
እንደሱም	?6n6d1s2m6	? 1 n . d @ s . s u m m
እንደስሙ	?6n6d1s6m2	? 1 n . d @ . s 1 . m u
እንደስራችን	?6n6d1s6r4c6n6	? 1 n . d @ . s 1 . r a tS . tS 1 n
እንደሷ	?6n6d1sw4	? 1 n . d @ sw . sw a
እንደሻው	?6n6d1sh4w6	? 1 n . d @ . S a w
እንደሻውም	?6n6d1sh4w6m6	? 1 n . d @ . S a . w 1 m m
እንደሻውስ	?6n6d1sh4w6s6	? 1 n . d @ . S a . w 1 s s
እንደሻውንስ	?6n6d1sh4w6n6s6	? 1 n . d @ . S a w . n 1 s s
እንደቆረጠ	?6n6d1K7r1T1	? 1 n . d @ . k> o r . r @ . t> @
እንደቆዩ	?6n6d1K7y2	? 1 n . d @ . k> o j . j u
እንደበላህ	?6n6d1b1l4h6	? 1 n . d @ . b @ l . l a h
እንደበራለን	?6n6d1b1r4l1n6	? 1 n . n 1 d . d @ b . b @ . r a l . l @ n
እንደበደለኝ	?6n6d1b1d1l1J6	? 1 n . d @ . b @ d . d @ . l @ J J
እንደባህሪው	?6n6d1b4h6r3w6	? 1 n . d @ . b a h . r i w
እንደተለመደው	?6n6d1t1l1m1d1w6	? 1 n . d @ t . t @ . l @ m . m @ . d @ w
እንደተመቸህ	?6n6d1t1m1c1h6	? 1 n . d @ . t @ m . m @ tS . tS @ h
እንደተረዳሁት	?6n6d1t1r1d4h2t6	? 1 n . d @ t . t @ . r @ d . d a . h u t
እንደተሰማችሁ	?6n6d1t1s1m4c6h2	? 1 n . d @ t . t @ . s @ m . m a tS . tS 1 . h u
እንደተሳሳትሁ	?6n6d1t1s4s4t6h2	? 1 n . d @ t . t @ . s a . s a t . h u
እንደተቀመጠ	?6n6d1t1K1m1T1	? 1 n . d @ t . t @ . k> @ m . m @ . t> @
እንደተቀመጠው	?6n6d1t1K1m1T1w6	? 1 n . d @ t . t @ . k> @ m . m @ . t> @ w
እንደተባባልነው	?6n6d1t1b4b4l6n1w6	? 1 n . d @ t . t @ . b a . b a l . n @ w
እንደተዋወቁ	?6n6d1t1w4w1K2	? 1 n . d @ t . t @ . w a w . w @ . k> u
እንደተገዛው	?6n6d1t1g1z4w6	? 1 n . d @ t . t @ . g @ z . z a w
እንደተገጨን	?6n6d1t1g1C1n6	? 1 n . d @ t . t @ . g @ tS> . tS> @ n
እንደተጠናከረ	?6n6d1t1T1n4k1r1	? 1 n . d @ t . t @ . t> @ . n a k . k @ . r @
እንደታሸገ	?6n6d1t4sh1g1	? 1 n . d @ t . t a S . S @ . g @
እንደታቀደው	?6n6d1t4K1d1w6	? 1 n . d @ t . t a k> . k> @ . d @ w
እንደቻልሽ	?6n6d1c4l6sh6	? 1 n . d @ . tS a l S
እንደነሱ	?6n6d1n1s2	? 1 n . d @ n . n @ s . s u
እንደነበረ	?6n6d1n1b1r1	? 1 n . d @ . n @ b . b @ . r @
እንደነበረባችሁ	?6n6d1n1b1r1b4c6h2	? 1 n . d @ . n @ b . b @ . r @ b . b a tS . tS 1 . h u
እንደነበረው	?6n6d1n1b1r1w6	? 1 n . d @ . n @ b . b @ . r @ w
እንደነካት	?6n6d1n1k4t6	? 1 n . d @ . n @ k . k a t
እንደነገረችኝ	?6n6d1n1g1r1c6J6	? 1 n . d @ . n @ g . g @ . r @ tS . tS 1 J J
እንደነገሩ	?6n6d1n1g1r2	? 1 n . d @ . n @ . g @ . r u	? 1 n . d @ . n @ g . g @ . r u
እንደነገርኩሽ	?6n6d1n1g1r6k2sh6	? 1 n . d @ . n @ g . g @ r . k u S
እንደናንተ	?6n6d1n4n6t1	? 1 n . d @ n . n a n . t @
እንደናፈቀኝ	?6n6d1n4f1K1J6	? 1 n . d @ n . n a f . f @ . k> @ J J
እንደኔው	?6n6d1n5w6	? 1 n . d @ . n e w
እንደወለቀ	?6n6d1w1l1K1	? 1 n . d @ . w @ l . l @ . k> @
እንደወለደች	?6n6d1w1l1d1c6	? 1 n . d @ . w @ l . l @ . d @ tS tS
እንደወላጆች	?6n6d1w1l4j7c6	? 1 n . d @ . w @ . l a . dZ o tS tS
እንደወሰደሽ	?6n6d1w1s1d1sh6	? 1 n . d @ . w @ s . s @ . d @ S
እንደወሰድነው	?6n6d1w1s1d6n1w6	? 1 n . d @ . w @ s . s @ d . n @ w
እንደወንዙ	?6n6d1w1n6z2	? 1 n . d @ . w @ n . z u
እንደወደድኩት	?6n6d1w1d1d6k2t6	? 1 n . d @ . w @ d . d @ d . k u t
እንደወጣ	?6n6d1w1T4	? 1 n . d @ . w @ t> . t> a
እንደወጣህ	?6n6d1w1T4h6	? 1 n . d @ . w @ t> . t> a h
እንደወፈረ	?6n6d1w1f1r1	? 1 n . d @ . w @ f . f @ . r @
እንደዋልያ	?6n6d1w4l6y4	? 1 n . d @ . w a l . j a
እንደውልለታለን	?6n6d1w6l6l1t4l1n6	? 1 n . d @ w . w 1 . l 1 l . l @ . t a l . l @ n
እንደውልላታለን	?6n6d1w6l6l4t4l1n6	? 1 n . d @ w . w 1 . l 1 l . l a . t a l . l @ n
እንደውልልሀለን	?6n6d1w6l6l6h1l1n6	? 1 n . d @ w . w 1 . l 1 l . l 1 . h a l . l @ n
እንደውልበታ	?6n6d1w6l6b1t4	? 1 n . d @ w . w 1 . l 1 b . b @ . t a
እንደውጪ	?6n6d1w6C3	? 1 n . d @ . w 1 tS> . tS> i
እንደዘመነኛው	?6n6d1z1m1n1J4w6	? 1 n . d @ . z @ . m @ . n @ J . J a w
እንደዚህን	?6n6d1z3h6n6	? 1 n . d @ z . z i . h 1 n
እንደዚም	?6n6d1z3m6	? 1 n . d @ z . z i m m
እንደዚያኛው	?6n6d1z3y4J4w6	? 1 n . d @ z . z i . j a J . J a w
እንደዚያኮ	?6n6d1z3y4k7	? 1 n . d @ . z i . j a . k o
እንደዝቋላማ	?6n6d1z6Kw4l4m4	? 1 n . d @ . z 1 . k>w a . l a m . m a
እንደያዘኝ	?6n6d1y4z1J6	? 1 n . d @ . j a . z @ J J
እንደደረሰባት	?6n6d1d1r1s1b4t6	? 1 n . d @ . d @ r . r @ . s @ b . b a t
እንደደወለ	?6n6d1d1w1l1	? 1 n . d @ . d @ w . w @ . l @
እንደደወልኩ	?6n6d1d1w1l6k2	? 1 n . d @ . d @ w . w @ l . k u
እንደድሯችን	?6n6d1d6rw4c6n6	? 1 n . d @ . d 1 . rw a tS . tS 1 n
እንደጀመሩ	?6n6d1j1m1r2	? 1 n . d @ . dZ @ m . m @ . r u
እንደገቡ	?6n6d1g1b2	? 1 n . d @ . g @ b . b u
እንደገባ	?6n6d1g1b4	? 1 n . d @ . g @ b . b a
እንደገባሁ	?6n6d1g1b4h2	? 1 n . d @ . g @ b . b a . h u
እንደገባች	?6n6d1g1b4c6	? 1 n . d @ . g @ b . b a tS tS
እንደገባችሁ	?6n6d1g1b4c6h2	? 1 n . d @ . g @ . b a tS . tS 1 . h u
እንደገዛ	?6n6d1g1z4	? 1 n . d @ . g @ z . z a
እንደጋገፍ	?6n6d1g4g1f6	? 1 n . n 1 d . d @ . g a . g @ f
እንደጋገፍበት	?6n6d1g4g1f6b1t6	? 1 n . n 1 d . d @ . g a . g @ . f 1 b . b @ t
እንደግ	?6n6d1g6	? 1 n . d @ g
እንደግፋለን	?6n6d1g6f4l1n6	? 1 n . d @ g . g 1 . f a l . l @ n
እንደግፋታለን	?6n6d1g6f4t4l1n6	? 1 n . d @ g . g 1 . f a . t a l . l @ n
እንደጠየቅሻት	?6n6d1T1y1K6sh4t6	? 1 n . d @ . t> @ j . j @ k> . S a t
እንደጨረሰ	?6n6d1C1r1s1	? 1 n . d @ . tS> @ r . r @ . s @
እንደጨረስሽ	?6n6d1C1r1s6sh6	? 1 n . d @ . tS> @ r . r @ . s 1 S
እንደጨረስን	?6n6d1C1r1s6n6	? 1 n . d @ . tS> @ r . r @ . s 1 n
እንደጨረስኩ	?6n6d1C1r1s6k2	? 1 n . d @ . tS> @ r . r @ s . k u
እንደፈለክ	?6n6d1f1l1k6	? 1 n . d @ . f @ l . l @ k k
እንደፈለገ	?6n6d1f1l1g1	? 1 n . d @ . f @ l . l @ . g @
እንደፈለገች	?6n6d1f1l1g1c6	? 1 n . d @ . f @ l . l @ . g @ tS tS
እንደፈለግሽ	?6n6d1f1l1g6sh6	? 1 n . d @ . f @ l . l @ . g 1 S
እንደፈቀደ	?6n6d1f1K1d1	? 1 n . d @ . f @ k> . k> @ . d @
እንደፍላጎቴ	?6n6d1f6l4g7t5	? 1 n . d @ . f 1 l . l a . g o . t e
እንደፍላጎትሽ	?6n6d1f6l4g7t6sh6	? 1 n . d @ . f 1 l . l a . g o . t 1 S
እንዲሁም	?6n6d3h2m6	? 1 n . d i . h u m m
እንዲሄድልህ	?6n6d3h5d6l6h6	? 1 n . d i . h e . d 1 l . l 1 h
እንዲሆናት	?6n6d3h7n4t6	? 1 n . d i . h o . n a t
እንዲሆንልን	?6n6d3h7n6l6n6	? 1 n . d i . h o . n 1 l . l 1 n
እንዲለምድ	?6n6d3l1m6d6	? 1 n . d i . l @ m d
እንዲለን	?6n6d3l1n6	? 1 n . d i . l @ n
እንዲሉ	?6n6d3l2	? 1 n . d i . l u
እንዲሉሽ	?6n6d3l2sh6	? 1 n . d i . l u S
እንዲላት	?6n6d3l4t6	? 1 n . d i . l a t
እንዲል	?6n6d3l6	? 1 n . d i l
እንዲመለስ	?6n6d3m1l1s6	? 1 n . d i m . m @ l . l @ s
እንዲመሩ	?6n6d3m1r2	? 1 n . d i . m @ . r u	? 1 n . d i . m @ r . r u	? 1 n . d i m . m @ r . r u
እንዲመቻቸን	?6n6d3m1c4c1n6	? 1 n . d i m . m @ . tS a tS . tS @ n
እንዲመደቡ	?6n6d3m1d1b2	? 1 n . d i m . m @ d . d @ . b u
እንዲመደብ	?6n6d3m1d1b6	? 1 n . d i m . m @ d . d @ b
እንዲሰማሩ	?6n6d3s1m4r2	? 1 n . d i s . s @ . m a r . r u
እንዲሰማኝ	?6n6d3s1m4J6	? 1 n . d i . s @ . m a J J	? 1 n . d i s . s @ m . m a J J
እንዲሰሩ	?6n6d3s1r2	? 1 n . d i s . s @ r . r u	? 1 n . d i . s @ . r u
እንዲሰራልን	?6n6d3s1r4l6n6	? 1 n . d i s . s @ r . r a l . l 1 n	? 1 n . d i . s @ . r a l . l 1 n
እንዲሰራው	?6n6d3s1r4w6	? 1 n . d i . s @ . r a w	? 1 n . d i s . s @ r . r a w
እንዲሰጠን	?6n6d3s1T1n6	? 1 n . d i s . s @ t> . t> @ n	? 1 n . d i . s @ . t> @ n
እንዲሰጥህ	?6n6d3s1T6h6	? 1 n . d i s . s @ t> . t> 1 h	? 1 n . d i . s @ . t> 1 h
እንዲሰጥልኝ	?6n6d3s1T6l6J6	? 1 n . d i s . s @ t> . t> 1 l . l 1 J J	? 1 n . d i . s @ . t> 1 l . l 1 J J
እንዲሰጥሽ	?6n6d3s1T6sh6	? 1 n . d i s . s @ t> . t> 1 S	? 1 n . d i . s @ . t> 1 S
እንዲሳካ	?6n6d3s4k4	? 1 n . d i s . s a k . k a
እንዲሳካልኝ	?6n6d3s4k4l6J6	? 1 n . d i s . s a k . k a l . l 1 J J
እንዲስተካከል	?6n6d3s6t1k4k1l6	? 1 n . d i s . t @ . k a k . k @ l
እንዲስፋፋ	?6n6d3s6f4f4	? 1 n . d i s . f a f . f a
እንዲሻላት	?6n6d3sh4l4t6	? 1 n . d i S . S a . l a t
እንዲሻሻል	?6n6d3sh4sh4l6	? 1 n . d i S . S a . S a l
እንዲቀርቡ	?6n6d3K1r6b2	? 1 n . d i . k> @ r . b u
እንዲቀንስልኝ	?6n6d3K1n6s6l6J6	? 1 n . d i . k> @ n . n 1 . s 1 l . l 1 J J
እንዲቀዳ	?6n6d3K1d4	? 1 n . d i k> . k> @ d . d a	? 1 n . d i . k> @ . d a
እንዲቆይልሽ	?6n6d3K7y6l6sh6	? 1 n . d i . k> o j . j 1 l . l 1 S
እንዲቆጥቡ	?6n6d3K7T6b2	? 1 n . d i . k> o t> . t> 1 . b u
እንዲቆጥብ	?6n6d3K7T6b6	? 1 n . d i . k> o t> . t> 1 b
እንዲበላው	?6n6d3b1l4w6	? 1 n . d i b . b @ l . l a w	? 1 n . d i . b @ . l a w
እንዲነግሩት	?6n6d3n1g6r2t6	? 1 n . d i . n @ g . r u t
እንዲንከባከቡህ	?6n6d3n6k1b4k1b2h6	? 1 n . d i n . k @ . b a k . k @ . b u h
እንዲንከባከቡኝ	?6n6d3n6k1b4k1b2J6	? 1 n . d i n . k @ . b a k . k @ . b u J
እንዲኖረኝ	?6n6d3n7r1J6	? 1 n . d i . n o . r @ J
እንዲኖራቸው	?6n6d3n7r4c1w6	? 1 n . d i . n o . r a tS . tS @ w
እንዲከፈልለት	?6n6d3k1f1l6l1t6	? 1 n . d i k . k @ f . f @ . l 1 l . l @ t
እንዲከፈት	?6n6d3k1f1t6	? 1 n . d i k . k @ f . f @ t
እንዲወርድ	?6n6d3w1r6d6	? 1 n . d i . w @ r d
እንዲውል	?6n6d3w6l6	? 1 n . d i . w 1 l
እንዲዘሩ	?6n6d3z1r2	? 1 n . d i z . z @ r . r u	? 1 n . d i . z @ . r u
እንዲዘሩልኝ	?6n6d3z1r2l6J6	? 1 n . d i . z @ . r u l . l 1 J	? 1 n . d i z . z @ . r u l . l 1 J
እንዲዘጋጅልህ	?6n6d3z1g4j6l6h6	? 1 n . d i z . z @ . g a dZ . dZ 1 l . l 1 h
እንዲያመቻች	?6n6d3y4m1c4c6	? 1 n . d i . j a m . m @ . tS a tS tS
እንዲያመጣ	?6n6d3y4m1T4	? 1 n . d i . j a . m @ . t> a
እንዲያመጣልኝ	?6n6d3y4m1T4l6J6	? 1 n . d i . j a . m @ . t> a l . l 1 J
እንዲያስተምሩ	?6n6d3y4s6t1m6r2	? 1 n . d i . j a s . t @ . m 1 . r u
እንዲያሸንፍ	?6n6d3y4sh1n6f6	? 1 n . d i . j a S . S @ n . n 1 f
እንዲያቀብለኝ	?6n6d3y4K1b6l1J6	? 1 n . d i . j a . k> @ b . b 1 . l @ J
እንዲያውቁት	?6n6d3y4w6K2t6	? 1 n . d i . j a w . k> u t
እንዲያይልኝ	?6n6d3y4y6l6J6	? 1 n . d i . j a . j 1 l . l 1 J
እንዲያይሽ	?6n6d3y4y6sh6	? 1 n . d i . j a . j 1 S
እንዲያደርግ	?6n6d3y4d1r6g6	? 1 n . d i . j a . d @ r g
እንዲያገናኙ	?6n6d3y4g1n4J2	? 1 n . d i . j a g . g @ . n a J . J u
እንዲያጣሩ	?6n6d3y4T4r2	? 1 n . d i . j a t> . t> a r . r u
እንዲያጸዳልን	?6n6d3y4S1d4l6n6	? 1 n . d i . j a . s> @ . d a l . l 1 n	? 1 n . d i . j a s> . s> @ d . d a l . l 1 n
እንዲደርስ	?6n6d3d1r6s6	? 1 n . d i . d @ r s
እንዲደውል	?6n6d3d1w6l6	? 1 n . d i . d @ w . w 1 l
እንዲጀምሩ	?6n6d3j1m6r2	? 1 n . d i . dZ @ m . m 1 . r u
እንዲገባ	?6n6d3g1b4	? 1 n . d i g . g @ b . b a	? 1 n . d i . g @ . b a
እንዲገኙ	?6n6d3g1J2	? 1 n . d i g . g @ J . J u
እንዲገኝልሽ	?6n6d3g1J6l6sh6	? 1 n . d i g . g @ J . J 1 l . l 1 S
እንዲጠብቁን	?6n6d3T1b6K2n6	? 1 n . d i . t> @ b . b 1 . k> u n
እንዲጨምሩ	?6n6d3C1m6r2	? 1 n . d i . tS> @ m . m 1 . r u
እንዲጨምር	?6n6d3C1m6r6	? 1 n . d i . tS> @ m . m 1 r
እንዲጨርሱት	?6n6d3C1r6s2t6	? 1 n . d i . tS> @ r . r 1 . s u t
እንዲጫወቱ	?6n6d3C4w1t2	? 1 n . d i tS> . tS> a w . w @ . t u
እንዲጫወት	?6n6d3C4w1t6	? 1 n . d i tS> . tS> a w . w @ t
እንዲጭንልኝ	?6n6d3C6n6l6J6	? 1 n . d i tS> . n 1 l . l 1 J
እንዲጸዳ	?6n6d3S1d4	? 1 n . d i . s> @ . d a	? 1 n . d i s> . s> @ d . d a
እንዲፃፍልሽ	?6n6d3tz4f6l6sh6	? 1 n . d i s> . s> a . f 1 l . l 1 S
እንዲፈረጅ	?6n6d3f1r1j6	? 1 n . d i f . f @ r . r @ dZ
እንዲፈታ	?6n6d3f1t4	? 1 n . d i f . f @ t . t a	? 1 n . d i . f @ . t a
እንዳለሁ	?6n6d4l1h2	? 1 n . d a . l @ . h u	? 1 n . d a l . l @ . h u
እንዳለሁኝ	?6n6d4l1h2J6	? 1 n . d a l . l @ . h u J
እንዳለህ	?6n6d4l1h6	? 1 n . d a l . l @ h	? 1 n . d a . l @ h
እንዳለሽ	?6n6d4l1sh6	? 1 n . d a . l @ S	? 1 n . d a l . l @ S
እንዳለቀሰ	?6n6d4l1K1s1	? 1 n . d a . l @ k> . k> @ . s @
እንዳለበት	?6n6d4l1b1t6	? 1 n . d a l . l @ b . b @ t	? 1 n . d a . l @ . b @ t
እንዳለባትማ	?6n6d4l1b4t6m4	? 1 n . d a l . l @ b . b a . t 1 m . m a	? 1 n . d a . l @ b . b a . t 1 m . m a
እንዳለብሽ	?6n6d4l1b6sh6	? 1 n . d a l . l @ b . b 1 S	? 1 n . d a . l @ b . b 1 S
እንዳለብኝ	?6n6d4l1b6J6	? 1 n . d a l . l @ b . b 1 J J
እንዳለብኝም	?6n6d4l1b6J6m6	? 1 n . d a l . l @ b . b 1 J . J 1 m m
እንዳለችሽ	?6n6d4l1c6sh6	? 1 n . d a . l @ tS . tS 1 S	? 1 n . d a l . l @ tS . tS 1 S
እንዳለችው	?6n6d4l1c6w6	? 1 n . d a . l @ tS . tS 1 w
እንዳለን	?6n6d4l1n6	? 1 n . d a l . l @ n	? 1 n . d a . l @ n
እንዳለኝ	?6n6d4l1J6	? 1 n . d a l . l @ J	? 1 n . d a . l @ J
እንዳሉሽ	?6n6d4l2sh6	? 1 n . d a l . l u S	? 1 n . d a . l u S
እንዳላመንኩ	?6n6d4l4m1n6k2	? 1 n . d a . l a . m @ n . k u
እንዳላረገው	?6n6d4l4r1g1w6	? 1 n . d a . l a . r @ . g @ w
እንዳላስፈታህ	?6n6d4l4s6f1t4h6	? 1 n . d a . l a s . f @ t . t a h
እንዳላቸው	?6n6d4l4c1w6	? 1 n . d a l . l a tS . tS @ w	? 1 n . d a . l a tS . tS @ w
እንዳላወራው	?6n6d4l4w1r4w6	? 1 n . d a . l a . w @ . r a w
