<hes>	a:6
gwaat3	gw a:3 t
gwaat3yat1gwaat3	gw a:3 t j 61 t gw a:3 t
gwaat3dou2	gw a:3 t d ow2
dou3	d ow3
dou3wai6	d ow3 w 6j6
dou3hau6	d ow3 h 6w6
dou3heui3	d ow3 h 9y3
dou3lo1	d ow3 l O:1
dou3m4dou3	d ow3 m4 d ow3
dou3lai4	d ow3 l 6j4
dou3cheung4	d ow3 ts 9:4 N
dou3chyu3	d ow3 ts y:3
dou3tau4lai4	d ow3 t 6w4 l 6j4
dou3mei5	d ow3 m ej5
dou3saan1	d ow3 s a:1 n
dou3dai2	d ow3 d 6j2
dou3dou6	d ow3 d ow6
dou3sau2	d ow3 s 6w2
dou3si4	d ow3 s i:4
dou3si4hau6	d ow3 s i:4 h 6w6
dou3si4hau6	d ow3 s i:4 h 6w6
dou3si4	d ow3 s i:4
dou3si4hau6	d ow3 s i:4 h 6w6
dou3kei4	d ow3 k ej4
dou3loi4	d ow3 l O:j4
dou3chi2yat1yau4	d ow3 ts i:2 j 61 t j 6w4
jai3	dz 6j3
jai3yip6	dz 6j3 j i:6 p
jai3laang5	dz 6j3 l a:5 N
jai3laang5hei3	dz 6j3 l a:5 N h ej3
jai3dou6	dz 6j3 d ow6
jai3fuk6	dz 6j3 f u:6 k
jai3ji2	dz 6j3 dz i:2
jai3faat3	dz 6j3 f a:3 t
jai3gun3chong2	dz 6j3 g u:3 n ts O:2 N
jai3yeuk6	dz 6j3 j 9:6 k
jai3jou3	dz 6j3 dz ow3
chaat3	ts a:3 t
chaat3ka1	ts a:3 t k a:1
chaat3gei1	ts a:3 t g ej1
saat3jai3	s a:3 t dz 6j3
saat3che1	s a:3 t ts E:1
chi3gik1	ts i:3 g i:1 k
chi3yi5	ts i:3 j i:5
chi3san1	ts i:3 s 61 n
chi3lik1hong1long1	ts i:3 l i:1 k h O:1 N l O:1 N
hak1	h 61 k
hak1luk6	h 61 k l u:6 k
hak1bok6	h 61 k b O:6 k
deuk3	d 9:3 k
jai1	dz 6j1
tai3	t 6j3
la1	l a:1
la4la2seng1	l a:4 l a:2 s E:1 N
chin4	ts i:4 n
chin4yat1paai4	ts i:4 n j 61 t p a:j4
chin4leung5yat6	ts i:4 n l 9:5 N j 66 t
chin4yam6	ts i:4 n j 66 m
chin4toi4	ts i:4 n t O:j4
chin4toi4mui1	ts i:4 n t O:j4 m u:j1
chin4hau6	ts i:4 n h 6w6
chin4jau3	ts i:4 n dz 6w3
chin4gung1	ts i:4 n g u:1 N
chin4nin2	ts i:4 n n i:2 n
chin4paai4	ts i:4 n p a:j4
chin4yat6	ts i:4 n j 66 t
chin4maan5	ts i:4 n m a:5 n
chin4maan5haak1	ts i:4 n m a:5 n h a:1 k
chin4kei4	ts i:4 n k ej4
chin4loi4	ts i:4 n l O:j4
chin4kap1	ts i:4 n k 61 p
chin4san1	ts i:4 n s 61 n
chin4bui3	ts i:4 n b u:j3
chin4bin1	ts i:4 n b i:1 n
chin4tou4	ts i:4 n t ow4
chin4fung1	ts i:4 n f u:1 N
chin4mun2	ts i:4 n m u:2 n
chin4min6	ts i:4 n m i:6 n
mok1	m O:1 k
mok1	m O:1 k
mok1maai4	m O:1 k m a:j4
kek6	k E:6 k
kek6ching4	k E:6 k ts i:4 N
kek6bun2	k E:6 k b u:2 n
kek6lit6	k E:6 k l i:6 t
kek6jaap6	k E:6 k dz a:6 p
jing6	dz i:6 N
sing6ha6	s i:6 N h a:6
jing6dai1	dz i:6 N d 6j1
jing6yu4	dz i:6 N j y:4
jing6faan1	dz i:6 N f a:1 n
jing6faan1	dz i:6 N f a:1 n
jing6faan6	dz i:6 N f a:6 n
jin2	dz i:2 n
jin2ha2tau4faat3	dz i:2 n h a:2 t 6w4 f a:3 t
jin2faat3	dz i:2 n f a:3 t
jin2hoi1	dz i:2 n h O:j1
jin2seui3	dz i:2 n s 9y3
jin2ji2	dz i:2 n dz i:2
fu3	f u:3
fu3yip6	f u:3 j i:6 p
fu3hou6	f u:3 h ow6
fu3jung2	f u:3 dz u:2 N
fu3sau2	f u:3 s 6w2
fu3gaau3lin6	f u:3 g a:w3 l i:6 n
got3	g O:3 t
got3maai4	g O:3 t m a:j4
pek3	p E:3 k
pek3dou3	p E:3 k d ow3
pek3yau5	p E:3 k j 6w5
pek3jau2	p E:3 k dz 6w2
pek3jau2mui1	p E:3 k dz 6w2 m u:j1
pek3baau2	p E:3 k b a:w2
tong1	t O:1 N
lik6	l i:6 k
lik6dou6	l i:6 k d ow6
lik6hei3	l i:6 k h ej3
lik6leung6	l i:6 k l 9:6 N
lik6sik6	l i:6 k s i:6 k
hyun3	h y:3 n
baan6	b a:6 n
baan6ha2	b a:6 n h a:2
baan6ha2jing3	b a:6 n h a:2 dz i:3 N
baan6si6	b a:6 n s i:6
baan6gung1	b a:6 n g u:1 N
baan6gung1sat1	b a:6 n g u:1 N s 61 t
baan6gung1yung6bou2	b a:6 n g u:1 N j y:6 N b ow2
baan6gung1yung6ji2	b a:6 n g u:1 N j y:6 N dz i:2
baan6dou3	b a:6 n d ow3
baan6dou3jing3	b a:6 n d ow3 dz i:3 N
baan6me1jing3	b a:6 n m E:1 dz i:3 N
baan6m4dou3	b a:6 n m4 d ow3
baan6m4baan6	b a:6 n m4 b a:6 n
baan6maai4	b a:6 n m a:j4
baan6hou2	b a:6 n h ow2
baan6yun4jing3	b a:6 n j y:4 n dz i:3 N
baan6ding6	b a:6 n d i:6 N
baan6jo2jing3	b a:6 n dz O:2 dz i:3 N
baan6dak1dou3	b a:6 n d 61 k d ow3
baan6sau2juk6	b a:6 n s 6w2 dz u:6 k
baan6wu6jiu3	b a:6 n w u:6 dz iw3
baan6faat3	b a:6 n f a:3 t
baan6lei5	b a:6 n l ej5
baan6chim1jing3	b a:6 n ts i:1 m dz i:3 N
baan6jing3	b a:6 n dz i:3 N
baan6hei2si6	b a:6 n h ej2 s i:6
gung1fu1	g u:1 N f u:1
gung1fu1siu3lam4	g u:1 N f u:1 s iw3 l 64 m
gung1fu1cha4	g u:1 N f u:1 ts a:4
gung1dai2	g u:1 N d 6j2
gung1lang4	g u:1 N l 64 N
gung1fo3	g u:1 N f O:3
ga1	g a:1
ga1seung6	g a:1 s 9:6 N
ga1ga3	g a:1 g a:3
ga1yap6	g a:1 j 66 p
ga1fan1	g a:1 f 61 n
ga1ga1	g a:1 g a:1
ga1ga1maai4maai4	g a:1 g a:1 m a:j4 m a:j4
ga1ngaat3	g a:1 N a:3 t
ga1m4ga1	g a:1 m4 g a:1
ga1maai4	g a:1 m a:j4
ga1do1	g a:1 d O:1
ga1daai6	g a:1 d a:j6
ga1jau1hung4	g a:1 dz 6w1 h u:4 N
ga1gung1	g a:1 g u:1 N
ga1gung1fai3	g a:1 g u:1 N f 6j3
ga1jo2mat6	g a:1 dz O:2 m 66 t
ga1keung4	g a:1 k 9:4 N
ga1dak1	g a:1 d 61 k
ga1la1chi4gong3tit3	g a:1 l a:1 ts i:4 g O:3 N t i:3 t
ga1na4daai6	g a:1 n a:4 d a:j6
ga1liu6	g a:1 l iw6
ga1yau4	g a:1 j 6w4
ga1yau4fai3	g a:1 j 6w4 f 6j3
ga1yit6	g a:1 j i:6 t
ga1baan1	g a:1 b a:1 n
ga1baan1fai3	g a:1 b a:1 n f 6j3
ga1mang4	g a:1 m 64 N
ga1mang4fai3	g a:1 m 64 N f 6j3
ga1faan1maai4	g a:1 f a:1 n m a:j4
ga1san1	g a:1 s 61 n
ga1hei2seung5lei4	g a:1 h ej2 s 9:5 N l ej4
ga1chuk1	g a:1 ts u:1 k
ga1chuk1jai1	g a:1 ts u:1 k dz 6j1
ga1chuk1dak1dou3	g a:1 ts u:1 k d 61 k d ow3
dung6	d u:6 N
dung6ha5	d u:6 N h a:5
dung6jok3	d u:6 N dz O:3 k
dung6jok3pin3	d u:6 N dz O:3 k p i:3 n
dung6lik6	d u:6 N l i:6 k
dung6gam2	d u:6 N g 62 m
dung6maan6	d u:6 N m a:6 n
dung6maan6jin2	d u:6 N m a:6 n dz i:2 n
dung6mat6	d u:6 N m 66 t
dung6mat6yun4	d u:6 N m 66 t j y:4 n
dung6wa2	d u:6 N w a:2
dung6wa2pin3	d u:6 N w a:2 p i:3 n
dung6wa2baan2	d u:6 N w a:2 b a:2 n
dung6mak6hyut3	d u:6 N m 66 k h y:3 t
dung6che1	d u:6 N ts E:1
dung6jing6	d u:6 N dz i:6 N
jo6	dz O:6
jo6gung1	dz O:6 g u:1 N
jo6sau2	dz O:6 s 6w2
jo6gaau3	dz O:6 g a:w3
jo6lei5	dz O:6 l ej5
jo6lei5kap1	dz O:6 l ej5 k 61 p
jo6lei5jing3	dz O:6 l ej5 dz i:3 N
lou5lik6	l ow5 l i:6 k
gip3	g i:3 p
ging6	g i:6 N
ging6go1	g i:6 N g O:1
ging6m4ging6	g i:6 N m4 g i:6 N
ging6chau1	g i:6 N ts 6w1
ging6go1gam1kuk1	g i:6 N g O:1 g 61 m k u:1 k
ging6baau3	g i:6 N b a:w3
ging6chau1	g i:6 N ts 6w1
ging6laat6gai1teui2bou2	g i:6 N l a:6 t g 6j1 t 9y2 b ow2
lou4	l ow4
lou4jok3	l ow4 dz O:3 k
lou4dung6guk2	l ow4 d u:6 N g u:2 k
lou4dung6faat3	l ow4 d u:6 N f a:3 t
lou4luk1	l ow4 l u:1 k
lou4ji1	l ow4 dz i:1
hyun3	h y:3 n
sai3	s 6j3
sai3lik6	s 6j3 l i:6 k
yung5	j y:5 N
yung5gat1	j y:5 N g 61 t
yung5yi4	j y:5 N j i:4
yung5gam2	j y:5 N g 62 m
yung5ming4	j y:5 N m i:4 N
yung5biu2go1	j y:5 N b iw2 g O:1
min5min5keung5keung5	m i:5 n m i:5 n k 9:5 N k 9:5 N
min5keung5	m i:5 n k 9:5 N
laak6	l a:6 k
mou6gyun1	m ow6 g y:1 n
kan4	k 64 n
kan4gin6	k 64 n g i:6 n
kan4lik6	k 64 n l i:6 k
kan4fan5	k 64 n f 65 n
gau1	g 6w1
gau1	g 6w1
gau1sam1dau3gok3	g 6w1 s 61 m d 6w3 g O:3 k
gau1git6man2	g 6w1 g i:6 t m 62 n
mat6	m 66 t
wan4	w 64 n
baau1	b a:w1
baau1jyu6	b a:w1 dz y:6
baau1hing1	b a:w1 h i:1 N
baau1baau1	b a:w1 b a:w1
baau1ham4	b a:w1 h 64 m
baau1ban2	b a:w1 b 62 n
baau1m4baau1	b a:w1 m4 b a:w1
baau1cheung4	b a:w1 ts 9:4 N
baau1maai4	b a:w1 m a:j4
baau1gung1	b a:w1 g u:1 N
baau1fong2	b a:w1 f O:2 N
baau1kut3	b a:w1 k u:3 t
baau1kut3maai4	b a:w1 k u:3 t m a:j4
baau1yut6	b a:w1 j y:6 t
baau1jou1	b a:w1 dz ow1
baau1seung1	b a:w1 s 9:1 N
baau1jung2	b a:w1 dz u:2 N
baau1jong1	b a:w1 dz O:1 N
baau1jong1doi2	b a:w1 dz O:1 N d O:j2
baau1yeng4	b a:w1 j E:4 N
baau1che1	b a:w1 ts E:1
baau1sik6	b a:w1 s i:6 k
baau1sik6baau1jyu6	b a:w1 s i:6 k b a:w1 dz y:6
baau1chaan1	b a:w1 ts a:1 n
baau1faan6	b a:w1 f a:6 n
chung1chung1	ts u:1 N ts u:1 N
chung1chung1mong4	ts u:1 N ts u:1 N m O:4 N
chung1mong4	ts u:1 N m O:4 N
fa3	f a:3
fa3ha2	f a:3 h a:2
fa3dou3	f a:3 d ow3
fa3hou2jong1	f a:3 h ow2 dz O:1 N
fa3jong1	f a:3 dz O:1 N
fa3jong1ban2	f a:3 dz O:1 N b 62 n
fa3jong1si1	f a:3 dz O:1 N s i:1
fa3hok6	f a:3 h O:6 k
fa3yun4jong1	f a:3 j y:4 n dz O:1 N
fa3jo2jong1	f a:3 dz O:2 dz O:1 N
fa3dak1	f a:3 d 61 k
fa3gan2jong1	f a:3 g 62 n dz O:1 N
fa3liu4	f a:3 l iw4
fa3sek6	f a:3 s E:6 k
fa3yim6	f a:3 j i:6 m
bak1	b 61 k
bak1seung5	b 61 k s 9:5 N
bak1ging1	b 61 k g i:1 N
bak1ging1lau5	b 61 k g i:1 N l 6w5
bak1ging1lou6	b 61 k g i:1 N l ow6
bak1daai6	b 61 k d a:j6
bak1ding6	b 61 k d i:6 N
bak1ping4	b 61 k p i:4 N
bak1fong1	b 61 k f O:1 N
bak1fong1yan4	b 61 k f O:1 N j 64 n
bak1au1	b 61 k 6w1
bak1kai1	b 61 k k 6j1
bak1jaam6	b 61 k dz a:6 m
bak1jaam6hau2	b 61 k dz a:6 m h 6w2
bak1yeuk3	b 61 k j 9:3 k
bak1gaai1	b 61 k g a:j1
bak1gaau1	b 61 k g a:w1
bak1mun4	b 61 k m u:4 n
bak1jaap6hau2	b 61 k dz a:6 p h 6w2
si4	s i:4
si4gang1	s i:4 g 61 N
jaap3jaap3sing1	dz a:3 p dz a:3 p s i:1 N
pat1	p 61 t
keui1	k 9y1
keui1bit6	k 9y1 b i:6 t
keui1bit6	k 9y1 b i:6 t
keui1hou2	k 9y1 h ow2
keui1wik6	k 9y1 w i:6 k
au1jong1	6w1 dz O:1 N
yi1	j i:1
yi1bou2	j i:1 b ow2
yi1m4yi1	j i:1 m4 j i:1
yi1hok6	j i:1 h O:6 k
yi1hok6chuk1jeun3wui5	j i:1 h O:6 k ts u:1 k dz 9:3 n w u:j5
yi1sang1	j i:1 s 61 N
yi1sang1ji2	j i:1 s 61 N dz i:2
yi1liu4	j i:1 l iw4
yi1liu4bou2him2	j i:1 l iw4 b ow2 h i:2 m
yi1liu4jing3	j i:1 l iw4 dz i:3 N
yi1yeuk6	j i:1 j 9:6 k
yi1biu1	j i:1 b iw1
yi1yun2	j i:1 j y:2 n
lik1	l i:1 k
nik1maai4	n i:1 k m a:j4
sap6	s 66 p
sap6ji1	s 66 p dz i:1
sap6yat1	s 66 p j 61 t
sap6yat1yi6	s 66 p j 61 t j i:6
sap6yat1hou6	s 66 p j 61 t h ow6
sap6yat1yut6	s 66 p j 61 t j y:6 t
sap6yat1yut6fan6	s 66 p j 61 t j y:6 t f 66 n
sap6yat1lau5	s 66 p j 61 t l 6w5
sap6chat1	s 66 p ts 61 t
sap6chat1hou6	s 66 p ts 61 t h ow6
sap6chat1baan1	s 66 p ts 61 t b a:1 n
sap6maan6	s 66 p m a:6 n
sap6saam1	s 66 p s a:1 m
sap6saam1maan6	s 66 p s a:1 m m a:6 n
sap6saam1jung1	s 66 p s a:1 m dz u:1 N
sap6saam1hou6	s 66 p s a:1 m h ow6
sap6saam1baan1	s 66 p s a:1 m b a:1 n
sap6saam1deui6	s 66 p s a:1 m d 9y6
sap6gau2	s 66 p g 6w2
sap6gau2hou6	s 66 p g 6w2 h ow6
sap6yi6	s 66 p j i:6
sap6yi6jung1	s 66 p j i:6 dz u:1 N
sap6yi6hou6	s 66 p j i:6 h ow6
sap6yi6yut6	s 66 p j i:6 j y:6 t
sap6yi6yut6fan6	s 66 p j i:6 j y:6 t f 66 n
sap6yi6lau5	s 66 p j i:6 l 6w5
sap6yi6ma5	s 66 p j i:6 m a:5
sap6m5	s 66 p m5
sap6m5hou6	s 66 p m5 h ow6
sap6m5jau1	s 66 p m5 dz 6w1
sap6m5yat6	s 66 p m5 j 66 t
sap6yan4	s 66 p j 64 n
sap6baat3	s 66 p b a:3 t
sap6baat3hou6	s 66 p b a:3 t h ow6
sap6luk6	s 66 p l u:6 k
sap6luk6ji1	s 66 p l u:6 k dz i:1
sap6luk6hou6	s 66 p l u:6 k h ow6
sap6luk6baan1	s 66 p l u:6 k b a:1 n
sap6gei2	s 66 p g ej2
sap6gei2hou6	s 66 p g ej2 h ow6
sap6fan1	s 66 p f 61 n
sap6hou6	s 66 p h ow6
sap6sei3	s 66 p s ej3
sap6sei3maan6	s 66 p s ej3 m a:6 n
sap6sei3jung1	s 66 p s ej3 dz u:1 N
sap6sei3hou6	s 66 p s ej3 h ow6
sap6ling4	s 66 p l i:4 N
sap6ji6	s 66 p dz i:6
sap6ji6lou6	s 66 p dz i:6 l ow6
sap6ji6lou6hau2	s 66 p dz i:6 l ow6 h 6w2
sap6nin4	s 66 p n i:4 n
sap6pok1	s 66 p p O:1 k
sap6yat6	s 66 p j 66 t
sap6yut6	s 66 p j y:6 t
sap6yut6fan6	s 66 p j y:6 t f 66 n
sap6yau5baat3gau2	s 66 p j 6w5 b a:3 t g 6w2
sap6lau5	s 66 p l 6w5
sap6dim2	s 66 p d i:2 m
sap6juk1	s 66 p dz u:1 k
sap6jung1	s 66 p dz u:1 N
sap6leng4	s 66 p l E:4 N
sap6leng4hou6	s 66 p l E:4 N h ow6
sap6leng4ya6	s 66 p l E:4 N j a:6
chin1	ts i:1 n
chin1maan6	ts i:1 n m a:6 n
chin1che2	ts i:1 n ts E:2
chin1che2kei4	ts i:1 n ts E:2 k ej4
chin1gau2	ts i:1 n g 6w2
chin1yik1	ts i:1 n j i:1 k
chin1baat3	ts i:1 n b a:3 t
chin1kei4	ts i:1 n k ej4
chin1gei2	ts i:1 n g ej2
chin1gei2leung5chin1	ts i:1 n g ej2 l 9:5 N ts i:1 n
chin1sei3	ts i:1 n s ej3
chin1saan1maan6seui2	ts i:1 n s a:1 n m a:6 n s 9y2
chin1loi4	ts i:1 n l O:j4
chin1bui1siu2	ts i:1 n b u:j1 s iw2
chin1kei4	ts i:1 n k ej4
chin1kei4m4hou2	ts i:1 n k ej4 m4 h ow2
chin1sik1gong2cheung4	ts i:1 n s i:1 k g O:2 N ts 9:4 N
chin1chung5lau2	ts i:1 n ts u:5 N l 6w2
ya6m5	j a:6 m5
sa1	s a:1
sa1yat1	s a:1 j 61 t
sa1yat1hou2	s a:1 j 61 t h ow2
sa1chat1	s a:1 ts 61 t
sa1saam1	s a:1 s a:1 m
sa1gau2	s a:1 g 6w2
sa1yi6	s a:1 j i:6
sa1m5	s a:1 m5
sa1fan6	s a:1 f 66 n
sa1baat3	s a:1 b a:3 t
sa1baat3maan6	s a:1 b a:3 t m a:6 n
sa1gei2	s a:1 g ej2
sa1hou6	s a:1 h ow6
sa1sei3	s a:1 s ej3
sa1seui3	s a:1 s 9y3
sa1leng4	s a:1 l E:4 N
sing1	s i:1 N
sing1ha2	s i:1 N h a:2
sing1ga3	s i:1 N g a:3
sing1ting4baan2	s i:1 N t i:4 N b a:2 n
sing1dou3	s i:1 N d ow3
sing1sing1dit3dit3	s i:1 N s i:1 N d i:3 t d i:3 t
sing1m4faan1	s i:1 N m4 f a:1 n
sing1tin1	s i:1 N t i:1 n
sing1hok6	s i:1 N h O:6 k
sing1gun1	s i:1 N g u:1 n
sing1jo2kap1	s i:1 N dz O:2 k 61 p
sing1saai3ga3	s i:1 N s a:j3 g a:3
sing1hei3kau4	s i:1 N h ej3 k 6w4
sing1din6	s i:1 N d i:6 n
sing1kap1	s i:1 N k 61 p
sing1jik1	s i:1 N dz i:1 k
sing1san1	s i:1 N s 61 n
sing1yi5yun4	s i:1 N j i:5 j y:4 n
sing1gong3	s i:1 N g O:3 N
sing1gong3gei1	s i:1 N g O:3 N g ej1
sing1gou1	s i:1 N g ow1
m5	m5
m5yau1	m5 j 6w1
m5gaau3	m5 g a:w3
m5chaan1	m5 ts a:1 n
m5faan6	m5 f a:6 n
bun3	b u:3 n
bun3liu5	b u:3 n l iw5
bun3ga3	b u:3 n g a:3
bun3kyut3choi3	b u:3 n k y:3 t ts O:j3
bun3cheung4	b u:3 n ts 9:4 N
bun3ye6	b u:3 n j E:6
bun3ye6saam1gang1	b u:3 n j E:6 s a:1 m g 61 N
bun3saan1	b u:3 n s a:1 n
bun3dou2	b u:3 n d ow2
bun3gung1bun3duk6	b u:3 n g u:1 N b u:3 n d u:6 k
bun3da1	b u:3 n d a:1
bun3gan1	b u:3 n g 61 n
bun3chi3	b u:3 n ts i:3
bun3doi2	b u:3 n d O:j2
bun3lou6	b u:3 n l ow6
bun3jung1	b u:3 n dz u:1 N
se3	s E:3
se3gau2	s E:3 g 6w2
se3m5	s E:3 m5
se3gei2	s E:3 g ej2
wa4	w a:4
wa4bing2	w a:4 b i:2 N
wa4dung1m5si5	w a:4 d u:1 N m5 s i:5
wa4wai4	w a:4 w 6j4
wa4lai6	w a:4 l 6j6
wa4lai6gung1	w a:4 l 6j6 g u:1 N
wa4ting4	w a:4 t i:4 N
wa4yan4	w a:4 j 64 n
wa4jai2	w a:4 dz 6j2
wa4kiu4	w a:4 k iw4
wa4kiu4seng2	w a:4 k iw4 s E:2 N
wa4kiu4piu3	w a:4 k iw4 p iw3
wa4laam4	w a:4 l a:4 m
wa4laam4sing6	w a:4 l a:4 m s i:6 N
wa4laam4lei5gung1daai6hok6	w a:4 l a:4 m l ej5 g u:1 N d a:j6 h O:6 k
wa4laam4lou6	w a:4 l a:4 m l ow6
wa4go1	w a:4 g O:1
wa4ha6	w a:4 h a:6
wa4leui5	w a:4 l 9y5
wa4je2	w a:4 dz E:2
wa4yi5gaai1	w a:4 j i:5 g a:j1
wa4gung1	w a:4 g u:1 N
wa4hong1	w a:4 h O:1 N
wa4gin3	w a:4 g i:3 n
wa4keung5	w a:4 k 9:5 N
wa4keung5bak1	w a:4 k 9:5 N b 61 k
wa4jung2	w a:4 dz u:2 N
wa4cheung1	w a:4 ts 9:1 N
wa4cheun1	w a:4 ts 9:1 n
wa4ging2	w a:4 g i:2 N
wa4ging2yun2	w a:4 g i:2 N j y:2 n
wa4hoi2	w a:4 h O:j2
wa4tin4	w a:4 t i:4 n
wa4wai4	w a:4 w 6j4
wa4ying1	w a:4 j i:1 N
wa4gei3	w a:4 g ej3
wa4lung4saan1	w a:4 l u:4 N s a:1 n
hip6wui2	h i:6 p w u:j2
hip3jo6	h i:3 p dz O:6
hip6seung1	h i:6 p s 9:1 N
hip6yi5	h i:6 p j i:5
hip3tiu4	h i:3 p t iw4
jeut1ji1	dz 9:1 t dz i:1
cheuk3	ts 9:3 k
cheuk3yun4	ts 9:3 k j y:4 n
cheuk3kau4	ts 9:3 k k 6w4
cheuk3yut6	ts 9:3 k j y:6 t
cheuk3yun5	ts 9:3 k j y:5 n
cheuk3yun5gwok3jai3daai6ha6	ts 9:3 k j y:5 n gw O:3 k dz 6j3 d a:j6 h a:6
daan1	d a:1 n
daan1yat1	d a:1 n j 61 t
daan1chan1	d a:1 n ts 61 n
daan1yan4	d a:1 n j 64 n
daan1wai2	d a:1 n w 6j2
daan1wai2uk1	d a:1 n w 6j2 u:1 k
daan1yun4	d a:1 n j y:4 n
daan1daan1	d a:1 n d a:1 n
daan1faan2	d a:1 n f a:2 n
daan1ji6	d a:1 n dz i:6
daan1deui3daan1	d a:1 n d 9y3 d a:1 n
daan1fong2	d a:1 n f O:2 N
daan1chau1	d a:1 n ts 6w1
daan1sou3	d a:1 n s ow3
daan1fong1min6	d a:1 n f O:1 N m i:6 n
daan1gong1	d a:1 n g O:1 N
daan1chi3	d a:1 n ts i:3
daan1duk6	d a:1 n d u:6 k
daan1fo1	d a:1 n f O:1
daan1ching4	d a:1 n ts i:4 N
daan1gaau1	d a:1 n g a:w1
daan1chi4	d a:1 n ts i:4
daan1san1	d a:1 n s 61 n
daan1che1	d a:1 n ts E:1
daan1che1ging3	d a:1 n ts E:1 g i:3 N
daan1che1luk1	d a:1 n ts E:1 l u:1 k
daan1gaan1	d a:1 n g a:1 n
maai6	m a:j6
maai6ha6	m a:j6 h a:6
maai6cheut1	m a:j6 ts 9:1 t
maai6maai6ha2	m a:j6 m a:j6 h a:2
maai6haam4aap3daan2	m a:j6 h a:4 m a:3 p d a:2 n
maai6m4cheut1	m a:j6 m4 ts 9:1 t
maai6m4dou3	m a:j6 m4 d ow3
maai6dei6	m a:j6 d ej6
maai6cheung4	m a:j6 ts 9:4 N
maai6maai4	m a:j6 m a:j4
maai6dak1cheut1	m a:j6 d 61 k ts 9:1 t
maai6gan2ye5	m a:j6 g 62 n j E:5
maai6choi4liu2	m a:j6 ts O:j4 l iw2
maai6lau2	m a:j6 l 6w2
maai6seung3	m a:j6 s 9:3 N
maai6lou5	m a:j6 l ow5
maai6cha4yip6	m a:j6 ts a:4 j i:6 p
maai6choi3	m a:j6 ts O:j3
maai6daan2	m a:j6 d a:2 n
maai6ye5	m a:j6 j E:5
maai6ma4gaai1	m a:j6 m a:4 g a:j1
laam4	l a:4 m
laam4ha6	l a:4 m h a:6
laam4ging1	l a:4 m g i:1 N
laam4gwaan1saan1	l a:4 m gw a:1 n s a:1 n
laam4bak1	l a:4 m b 61 k
laam4keui1	l a:4 m k 9y1
laam4bun3kau4	l a:4 m b u:3 n k 6w4
laam4wa4ji2	l a:4 m w a:4 dz i:2
laam4me1dou2	l a:4 m m E:1 d ow2
laam4gok3leui5	l a:4 m g O:3 k l 9y5
laam4sing4	l a:4 m s i:4 N
laam4taai3	l a:4 m t a:j3
laam4tau4	l a:4 m t 6w4
laam4mou5	l a:4 m m ow5
laam4ling4	l a:4 m l i:4 N
laam4ling4baak3fo3	l a:4 m l i:4 N b a:3 k f O:3
laam4saan1	l a:4 m s a:1 n
laam4saan1dou2	l a:4 m s a:1 n d ow2
laam4gong1	l a:4 m g O:1 N
laam4jong1	l a:4 m dz O:1 N
laam4si1lai1fu1	l a:4 m s i:1 l 6j1 f u:1
laam4fong1	l a:4 m f O:1 N
laam4fong1yi1yun2	l a:4 m f O:1 N j i:1 j y:2 n
laam4fong1daai6ha6	l a:4 m f O:1 N d a:j6 h a:6
laam4kwan1	l a:4 m kw 61 n
laam4kwan1saan1	l a:4 m kw 61 n s a:1 n
laam4cheung1	l a:4 m ts 9:1 N
laam4pou2	l a:4 m p ow2
laam4pou2to4ji6	l a:4 m p ow2 t O:4 dz i:6
laam4chyun1	l a:4 m ts y:1 n
laam4au1	l a:4 m 6w1
laam4mou5ying1	l a:4 m m ow5 j i:1 N
laam4sa1	l a:4 m s a:1
laam4taai3	l a:4 m t a:j3
laam4yeung4	l a:4 m j 9:4 N
laam4jau1	l a:4 m dz 6w1
laam4hoi2	l a:4 m h O:j2
laam4hoi2yi1yun2	l a:4 m h O:j2 j i:1 j y:2 n
laam4wu4gok3leui5	l a:4 m w u:4 g O:3 k l 9y5
laam4ou3	l a:4 m ow3
laam4gwa1	l a:4 m gw a:1
laam4jaam6	l a:4 m dz a:6 m
laam4mei5	l a:4 m m ej5
laam4hong4	l a:4 m h O:4 N
laam4yun2	l a:4 m j y:2 n
laam4ying1	l a:4 m j i:1 N
laam4bin1mun4	l a:4 m b i:1 n m u:4 n
laam4mun4	l a:4 m m u:4 n
laam4gok3	l a:4 m g O:3 k
laam4gok3jau2ga1	l a:4 m g O:3 k dz 6w2 g a:1
laam4fei1	l a:4 m f ej1
bok3	b O:3 k
bok3si6	b O:3 k s i:6
bok3haak3	b O:3 k h a:3 k
bok3man2	b O:3 k m 62 n
bok3mat6gun2	b O:3 k m 66 t g u:2 n
buk1	b u:1 k
jim1	dz i:1 m
jim3ling5	dz i:3 m l i:5 N
ka1	k a:1
ka1la1ou1kei1	k a:1 l a:1 ow1 k ej1
ka1ka1	k a:1 k a:1
ka1si5	k a:1 s i:5
ka1pin3	k a:1 p i:3 n
ka1lou6lei5	k a:1 l ow6 l ej5
ka1tung1pin2	k a:1 t u:1 N p i:2 n
lou4wing6yi4	l ow4 w i:6 N j i:4
lou4sat1hoi2dak1	l ow4 s 61 t h O:j2 d 61 k
lou4gin3man4	l ow4 g i:3 n m 64 n
lou4gei3	l ow4 g ej3
lou5mei2	l ow5 m ej2
lou5seui2	l ow5 s 9y2
lou5seui2jap1	l ow5 s 9y2 dz 61 p
lou5yuk6faan6	l ow5 j y:6 k f a:6 n
o6pou1	O:6 p ow1
o6lung4dou2	O:6 l u:4 N d ow2
